Id,AHex,BHex,ADelta[ns],BDelta[ns],AMinusB[ns],SameByte
1,FF,FF,0.00,0.00,0.00,1
2,FF,FF,10950.00,10950.00,0.00,1
3,02,07,10950.00,10950.00,0.00,0
4,04,04,10950.00,10950.00,0.00,1
5,02,02,10950.00,11000.00,-50.00,1
6,38,38,10950.00,10950.00,0.00,1
7,11,11,65750.00,57800.00,7950.00,1
8,AE,A9,117500.00,110650.00,6850.00,0
9,FF,FF,25900.00,48300.00,-22400.00,1
10,FF,FF,9850.00,9950.00,-100.00,1
11,02,07,9850.00,9900.00,-50.00,0
12,13,13,9900.00,9950.00,-50.00,1
13,00,00,9850.00,9900.00,-50.00,1
14,03,A5,9900.00,9950.00,-50.00,0
15,08,08,9850.00,9950.00,-100.00,1
16,00,00,9900.00,9900.00,0.00,1
17,00,00,9850.00,9950.00,-100.00,1
18,09,00,9900.00,9900.00,0.00,0
19,04,00,9850.00,9950.00,-100.00,0
20,78,7A,9900.00,9950.00,-50.00,0
21,00,1F,9850.00,9900.00,-50.00,0
22,00,00,9900.00,9950.00,-50.00,1
23,00,00,9850.00,9900.00,-50.00,1
24,00,00,9900.00,9950.00,-50.00,1
25,FF,A5,9850.00,9950.00,-100.00,0
26,07,08,9900.00,9900.00,0.00,0
27,00,00,9850.00,9950.00,-100.00,1
28,00,00,9900.00,9900.00,0.00,1
29,00,00,9850.00,9950.00,-100.00,1
30,00,00,9900.00,9950.00,-50.00,1
31,54,F2,9850.00,9900.00,-50.00,0
32,FF,FF,49020300.00,49263900.00,-243600.00,1
33,FF,FF,10950.00,10950.00,0.00,1
34,02,07,10950.00,10950.00,0.00,0
35,04,04,10950.00,10950.00,0.00,1
36,02,02,10950.00,11000.00,-50.00,1
37,38,38,10950.00,10950.00,0.00,1
38,11,11,49800.00,90700.00,-40900.00,1
39,AE,A9,108600.00,119650.00,-11050.00,0
40,FF,FF,26650.00,44400.00,-17750.00,1
41,FF,FF,9850.00,9950.00,-100.00,1
42,02,07,9900.00,9900.00,0.00,0
43,13,13,9850.00,9950.00,-100.00,1
44,00,00,9850.00,9900.00,-50.00,1
45,03,A5,9900.00,9950.00,-50.00,0
46,08,08,9850.00,9950.00,-100.00,1
47,00,00,9900.00,9900.00,0.00,1
48,00,00,9900.00,9950.00,-50.00,1
49,08,00,9850.00,9900.00,-50.00,0
50,04,00,9900.00,9950.00,-50.00,0
51,78,7A,9850.00,9950.00,-100.00,0
52,00,1F,9850.00,9900.00,-50.00,0
53,00,00,9900.00,9950.00,-50.00,1
54,00,00,9850.00,9900.00,-50.00,1
55,00,00,9900.00,9950.00,-50.00,1
56,FF,A5,9850.00,9950.00,-100.00,0
57,07,08,9900.00,9950.00,-50.00,0
58,00,00,9850.00,9900.00,-50.00,1
59,00,00,9900.00,9950.00,-50.00,1
60,00,00,9850.00,9900.00,-50.00,1
61,00,00,9900.00,9950.00,-50.00,1
62,55,F2,9850.00,9950.00,-100.00,0
63,FF,FF,49552600.00,49495600.00,57000.00,1
64,FF,FF,10950.00,11000.00,-50.00,1
65,02,07,10950.00,10950.00,0.00,0
66,04,04,10950.00,10950.00,0.00,1
67,02,02,11000.00,10950.00,50.00,1
68,38,38,10950.00,11000.00,-50.00,1
69,11,11,55750.00,75700.00,-19950.00,1
70,AE,A9,82650.00,120650.00,-38000.00,0
71,FF,FF,26150.00,41650.00,-15500.00,1
72,FF,FF,9850.00,9950.00,-100.00,1
73,02,07,9900.00,9950.00,-50.00,0
74,13,13,9850.00,9900.00,-50.00,1
75,00,00,9850.00,9950.00,-100.00,1
76,03,A5,9900.00,9900.00,0.00,0
77,08,08,9850.00,9950.00,-100.00,1
78,00,00,9900.00,9950.00,-50.00,1
79,00,00,9850.00,9900.00,-50.00,1
80,06,00,9900.00,9950.00,-50.00,0
81,04,00,9850.00,9950.00,-100.00,0
82,78,7A,9900.00,9900.00,0.00,0
83,00,1F,9850.00,9950.00,-100.00,0
84,00,00,9900.00,9950.00,-50.00,1
85,00,00,9850.00,9900.00,-50.00,1
86,00,00,9900.00,9950.00,-50.00,1
87,FF,A5,9850.00,9950.00,-100.00,0
88,07,08,9900.00,9900.00,0.00,0
89,00,00,9850.00,9950.00,-100.00,1
90,00,00,9900.00,9950.00,-50.00,1
91,00,00,9850.00,9900.00,-50.00,1
92,00,00,9900.00,9950.00,-50.00,1
93,57,F2,9850.00,9950.00,-100.00,0
94,FF,FF,49568050.00,49432250.00,135800.00,1
95,FF,FF,10950.00,10950.00,0.00,1
96,02,07,10950.00,11000.00,-50.00,0
