Id,OldHex,FixHex,OemHex,VirtHex,OldDelta[ns],FixDelta[ns],OemDelta[ns],VirtDelta[ns],FixMinusOld[ns],OemMinusFix[ns],VirtMinusFix[ns]
1,FF,FF,FF,FF,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,FF,FF,FF,FF,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
3,02,02,0D,03,10950.00,10950.00,11000.00,10950.00,0.00,50.00,0.00
4,04,04,04,04,11000.00,10950.00,10950.00,10950.00,-50.00,0.00,0.00
5,02,02,02,02,10950.00,11000.00,10950.00,11000.00,50.00,-50.00,0.00
6,38,38,38,38,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
7,11,11,11,11,90650.00,43800.00,92700.00,101600.00,-46850.00,48900.00,57800.00
8,AE,AE,A3,AD,119500.00,80700.00,126500.00,65750.00,-38800.00,45800.00,-14950.00
9,FF,FF,FF,FF,58900.00,36200.00,46550.00,46600.00,-22700.00,10350.00,10400.00
10,FF,FF,FF,FF,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
11,02,02,0D,03,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
12,13,13,13,13,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
13,00,00,00,00,12850.00,9850.00,9950.00,10000.00,-3000.00,100.00,150.00
14,00,02,CC,6F,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
15,00,08,08,07,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
16,00,00,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
17,80,80,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
18,1F,06,00,00,12800.00,9900.00,10000.00,9950.00,-2900.00,100.00,50.00
19,04,04,00,00,12850.00,9850.00,9950.00,9950.00,-3000.00,100.00,100.00
20,78,78,7A,7A,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
21,00,00,19,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
22,00,00,00,00,12800.00,9900.00,9950.00,9950.00,-2900.00,50.00,50.00
23,00,00,00,00,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
24,00,00,00,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
25,01,00,CC,6F,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
26,00,08,08,07,12850.00,9900.00,10000.00,9950.00,-2950.00,100.00,50.00
27,00,00,00,9B,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
28,00,00,00,03,12850.00,9900.00,9950.00,9950.00,-2950.00,50.00,50.00
29,00,00,00,00,12850.00,9850.00,10000.00,9950.00,-3000.00,150.00,100.00
30,00,00,00,00,12850.00,9900.00,9950.00,10000.00,-2950.00,50.00,100.00
31,CE,D6,A4,E5,12800.00,9850.00,9950.00,9950.00,-2950.00,100.00,100.00
32,FF,FF,FF,FF,49446850.00,62062950.00,49957350.00,49116000.00,12616100.00,-12105600.00,-12946950.00
33,FF,FF,FF,FF,10950.00,10950.00,11000.00,10950.00,0.00,50.00,0.00
34,02,02,0D,03,10950.00,10950.00,10950.00,10950.00,0.00,0.00,0.00
35,04,04,04,04,10950.00,10950.00,10950.00,11000.00,0.00,0.00,50.00
36,02,02,02,02,10950.00,10950.00,11000.00,10950.00,0.00,50.00,0.00
37,38,38,38,38,10950.00,11000.00,10950.00,10950.00,50.00,-50.00,-50.00
