Id,OursHex,OemHex,VirtHex,OursDelta[ns],OemDelta[ns],VirtDelta[ns],OemMinusOurs[ns],VirtMinusOurs[ns],VirtMinusOem[ns]
1,FF,FF,FF,0.00,0.00,0.00,0.00,0.00,0.00
2,FF,FF,FF,10950.00,10950.00,10950.00,0.00,0.00,0.00
3,02,0D,03,10950.00,11000.00,10950.00,50.00,0.00,-50.00
4,04,04,04,11000.00,10950.00,10950.00,-50.00,-50.00,0.00
5,02,02,02,10950.00,10950.00,11000.00,0.00,50.00,50.00
6,38,38,38,10950.00,10950.00,10950.00,0.00,0.00,0.00
7,11,11,11,90650.00,92700.00,101600.00,2050.00,10950.00,8900.00
8,AE,A3,AD,119500.00,126500.00,65750.00,7000.00,-53750.00,-60750.00
9,FF,FF,FF,58900.00,46550.00,46600.00,-12350.00,-12300.00,50.00
10,FF,FF,FF,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
11,02,0D,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
12,13,13,13,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
13,00,00,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
14,00,CC,6F,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
15,00,08,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
16,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
17,80,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
18,1F,00,00,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
19,04,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
20,78,7A,7A,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
21,00,19,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
22,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
23,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
24,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
25,01,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
26,00,08,07,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
27,00,00,9B,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
28,00,00,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
29,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
30,00,00,00,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
31,CE,A4,E5,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
32,FF,FF,FF,49446850.00,49957350.00,49116000.00,510500.00,-330850.00,-841350.00
33,FF,FF,FF,10950.00,11000.00,10950.00,50.00,0.00,-50.00
34,02,0D,03,10950.00,10950.00,10950.00,0.00,0.00,0.00
35,04,04,04,10950.00,10950.00,11000.00,0.00,50.00,50.00
36,02,02,02,10950.00,11000.00,10950.00,50.00,0.00,-50.00
37,38,38,38,10950.00,10950.00,10950.00,0.00,0.00,0.00
38,11,11,11,113600.00,178350.00,252200.00,64750.00,138600.00,73850.00
39,AE,A3,AD,102650.00,48800.00,80750.00,-53850.00,-21900.00,31950.00
40,FF,FF,FF,36450.00,41550.00,45600.00,5100.00,9150.00,4050.00
41,FF,FF,FF,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
42,02,0D,03,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
43,13,13,13,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
44,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
45,00,CC,6F,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
46,00,08,07,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
47,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
48,80,00,00,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
49,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
50,04,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
51,78,7A,7A,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
52,00,19,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
53,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
54,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
55,00,00,00,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
56,01,CC,6F,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
57,00,08,07,12850.00,10000.00,10000.00,-2850.00,-2850.00,0.00
58,00,00,9C,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
59,00,00,03,12800.00,10000.00,9950.00,-2800.00,-2850.00,-50.00
60,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
61,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
62,CE,A4,E4,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
63,FF,FF,FF,48510600.00,49754100.00,49758750.00,1243500.00,1248150.00,4650.00
64,FF,FF,FF,11000.00,11000.00,10950.00,0.00,-50.00,-50.00
65,02,0D,03,10950.00,10950.00,10950.00,0.00,0.00,0.00
66,04,04,04,10950.00,10950.00,10950.00,0.00,0.00,0.00
67,02,02,02,10950.00,11000.00,11000.00,50.00,50.00,0.00
68,38,38,38,11000.00,10950.00,10950.00,-50.00,-50.00,0.00
69,11,11,11,97600.00,125600.00,118600.00,28000.00,21000.00,-7000.00
70,AE,A3,AD,129500.00,61800.00,97700.00,-67700.00,-31800.00,35900.00
71,FF,FF,FF,57700.00,42750.00,45950.00,-14950.00,-11750.00,3200.00
72,FF,FF,FF,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
73,02,0D,03,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
74,13,13,13,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
75,00,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
76,00,CC,6F,12850.00,9950.00,10000.00,-2900.00,-2850.00,50.00
77,00,08,07,12800.00,9950.00,9950.00,-2850.00,-2850.00,0.00
78,00,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
79,80,00,00,12850.00,10000.00,9950.00,-2850.00,-2900.00,-50.00
80,1F,00,00,12850.00,9950.00,9950.00,-2900.00,-2900.00,0.00
