Id,OursHex,OemHex,OursDelta[ns],OemDelta[ns],DiffDelta[ns],SameByte
1,FF,FF,0.00,0.00,0.00,1
2,FF,FF,10950.00,10950.00,0.00,1
3,02,0D,10950.00,11000.00,50.00,0
4,04,04,11000.00,10950.00,-50.00,1
5,02,02,10950.00,10950.00,0.00,1
6,38,38,10950.00,10950.00,0.00,1
7,11,11,90650.00,92700.00,2050.00,1
8,AE,A3,119500.00,126500.00,7000.00,0
9,FF,FF,58900.00,46550.00,-12350.00,1
10,FF,FF,12850.00,9950.00,-2900.00,1
11,02,0D,12850.00,9950.00,-2900.00,0
12,13,13,12850.00,10000.00,-2850.00,1
13,00,00,12850.00,9950.00,-2900.00,1
14,00,CC,12800.00,9950.00,-2850.00,0
15,00,08,12850.00,10000.00,-2850.00,0
16,00,00,12850.00,9950.00,-2900.00,1
17,80,00,12850.00,9950.00,-2900.00,0
18,1F,00,12800.00,10000.00,-2800.00,0
19,04,00,12850.00,9950.00,-2900.00,0
20,78,7A,12850.00,9950.00,-2900.00,0
21,00,19,12850.00,10000.00,-2850.00,0
22,00,00,12800.00,9950.00,-2850.00,1
23,00,00,12850.00,9950.00,-2900.00,1
24,00,00,12850.00,10000.00,-2850.00,1
25,01,CC,12850.00,9950.00,-2900.00,0
26,00,08,12850.00,10000.00,-2850.00,0
27,00,00,12800.00,9950.00,-2850.00,1
28,00,00,12850.00,9950.00,-2900.00,1
29,00,00,12850.00,10000.00,-2850.00,1
30,00,00,12850.00,9950.00,-2900.00,1
31,CE,A4,12800.00,9950.00,-2850.00,0
32,FF,FF,49446850.00,49957350.00,510500.00,1
33,FF,FF,10950.00,11000.00,50.00,1
34,02,0D,10950.00,10950.00,0.00,0
35,04,04,10950.00,10950.00,0.00,1
36,02,02,10950.00,11000.00,50.00,1
37,38,38,10950.00,10950.00,0.00,1
38,11,11,113600.00,178350.00,64750.00,1
39,AE,A3,102650.00,48800.00,-53850.00,0
40,FF,FF,36450.00,41550.00,5100.00,1
41,FF,FF,12850.00,9950.00,-2900.00,1
42,02,0D,12850.00,10000.00,-2850.00,0
43,13,13,12800.00,9950.00,-2850.00,1
44,00,00,12850.00,9950.00,-2900.00,1
45,00,CC,12850.00,10000.00,-2850.00,0
46,00,08,12850.00,9950.00,-2900.00,0
47,00,00,12800.00,9950.00,-2850.00,1
48,80,00,12850.00,10000.00,-2850.00,0
49,1F,00,12850.00,9950.00,-2900.00,0
50,04,00,12850.00,10000.00,-2850.00,0
51,78,7A,12800.00,9950.00,-2850.00,0
52,00,19,12850.00,9950.00,-2900.00,0
53,00,00,12850.00,9950.00,-2900.00,1
54,00,00,12850.00,10000.00,-2850.00,1
55,00,00,12800.00,9950.00,-2850.00,1
56,01,CC,12850.00,9950.00,-2900.00,0
57,00,08,12850.00,10000.00,-2850.00,0
58,00,00,12850.00,9950.00,-2900.00,1
59,00,00,12800.00,10000.00,-2800.00,1
60,00,00,12850.00,9950.00,-2900.00,1
61,00,00,12850.00,9950.00,-2900.00,1
62,CE,A4,12850.00,10000.00,-2850.00,0
63,FF,FF,48510600.00,49754100.00,1243500.00,1
64,FF,FF,11000.00,11000.00,0.00,1
65,02,0D,10950.00,10950.00,0.00,0
66,04,04,10950.00,10950.00,0.00,1
67,02,02,10950.00,11000.00,50.00,1
68,38,38,11000.00,10950.00,-50.00,1
69,11,11,97600.00,125600.00,28000.00,1
70,AE,A3,129500.00,61800.00,-67700.00,0
71,FF,FF,57700.00,42750.00,-14950.00,1
72,FF,FF,12850.00,10000.00,-2850.00,1
73,02,0D,12850.00,9950.00,-2900.00,0
74,13,13,12800.00,9950.00,-2850.00,1
75,00,00,12850.00,10000.00,-2850.00,1
76,00,CC,12850.00,9950.00,-2900.00,0
77,00,08,12800.00,9950.00,-2850.00,0
78,00,00,12850.00,9950.00,-2900.00,1
79,80,00,12850.00,10000.00,-2850.00,0
80,1F,00,12850.00,9950.00,-2900.00,0
81,04,00,12800.00,9950.00,-2850.00,0
82,78,7A,12850.00,10000.00,-2850.00,0
83,00,19,12850.00,9950.00,-2900.00,0
84,00,00,12800.00,9950.00,-2850.00,1
85,00,00,12850.00,10000.00,-2850.00,1
86,00,00,12850.00,9950.00,-2900.00,1
87,01,CC,12850.00,9950.00,-2900.00,0
88,00,08,12800.00,10000.00,-2800.00,0
89,00,00,12850.00,9950.00,-2900.00,1
90,00,00,12850.00,9950.00,-2900.00,1
91,00,00,12800.00,10000.00,-2800.00,1
92,00,00,12850.00,9950.00,-2900.00,1
