Id,SingleHex,MultiHex,SingleDelta[ns],MultiDelta[ns],DiffDelta[ns],SameByte
1,FF,FF,0.00,0.00,0.00,1
2,FF,FF,10950.00,10950.00,0.00,1
3,02,02,10950.00,11000.00,50.00,1
4,04,04,11000.00,10950.00,-50.00,1
5,02,02,10950.00,10950.00,0.00,1
6,38,38,10950.00,10950.00,0.00,1
7,11,11,90650.00,68750.00,-21900.00,1
8,AE,AE,119500.00,111600.00,-7900.00,1
9,FF,FF,58900.00,56650.00,-2250.00,1
10,FF,FF,12850.00,12850.00,0.00,1
11,02,02,12850.00,12850.00,0.00,1
12,13,13,12850.00,12800.00,-50.00,1
13,00,00,12850.00,12850.00,0.00,1
14,00,00,12800.00,12850.00,50.00,1
15,00,00,12850.00,12850.00,0.00,1
16,00,00,12850.00,12850.00,0.00,1
17,80,00,12850.00,12800.00,-50.00,0
18,1F,20,12800.00,12850.00,50.00,0
19,04,04,12850.00,12850.00,0.00,1
20,78,78,12850.00,12850.00,0.00,1
21,00,00,12850.00,12800.00,-50.00,1
22,00,00,12800.00,12850.00,50.00,1
23,00,00,12850.00,12850.00,0.00,1
24,00,00,12850.00,12850.00,0.00,1
25,01,01,12850.00,12800.00,-50.00,1
26,00,00,12850.00,12850.00,0.00,1
27,00,00,12800.00,12850.00,50.00,1
28,00,00,12850.00,12850.00,0.00,1
29,00,00,12850.00,12800.00,-50.00,1
30,00,00,12850.00,12850.00,0.00,1
31,CE,4D,12800.00,13850.00,1050.00,0
32,FF,FF,49446850.00,49410250.00,-36600.00,1
33,FF,FF,10950.00,10950.00,0.00,1
34,02,02,10950.00,10950.00,0.00,1
35,04,04,10950.00,11000.00,50.00,1
36,02,02,10950.00,10950.00,0.00,1
37,38,38,10950.00,10950.00,0.00,1
38,11,11,113600.00,41850.00,-71750.00,1
39,AE,AE,102650.00,106650.00,4000.00,1
40,FF,FF,36450.00,37600.00,1150.00,1
41,FF,FF,12850.00,12850.00,0.00,1
42,02,02,12850.00,12800.00,-50.00,1
43,13,13,12800.00,12850.00,50.00,1
44,00,00,12850.00,12850.00,0.00,1
45,00,00,12850.00,12850.00,0.00,1
46,00,00,12850.00,12800.00,-50.00,1
47,00,00,12800.00,12850.00,50.00,1
48,80,00,12850.00,12850.00,0.00,0
49,1F,20,12850.00,12850.00,0.00,0
50,04,04,12850.00,12800.00,-50.00,1
51,78,78,12800.00,12850.00,50.00,1
52,00,00,12850.00,12850.00,0.00,1
53,00,00,12850.00,12850.00,0.00,1
54,00,00,12850.00,12800.00,-50.00,1
55,00,00,12800.00,12850.00,50.00,1
56,01,01,12850.00,12850.00,0.00,1
57,00,00,12850.00,12850.00,0.00,1
58,00,00,12850.00,12800.00,-50.00,1
59,00,00,12800.00,12850.00,50.00,1
60,00,00,12850.00,12850.00,0.00,1
61,00,00,12850.00,12850.00,0.00,1
62,CE,4D,12850.00,12800.00,-50.00,0
63,FF,FF,48510600.00,49430350.00,919750.00,1
64,FF,FF,11000.00,10950.00,-50.00,1
65,02,02,10950.00,10950.00,0.00,1
66,04,04,10950.00,10950.00,0.00,1
67,02,02,10950.00,11000.00,50.00,1
68,38,38,11000.00,10950.00,-50.00,1
69,11,11,97600.00,118600.00,21000.00,1
70,AE,AE,129500.00,129500.00,0.00,1
71,FF,FF,57700.00,58800.00,1100.00,1
72,FF,FF,12850.00,12800.00,-50.00,1
73,02,02,12850.00,12850.00,0.00,1
74,13,13,12800.00,12850.00,50.00,1
75,00,00,12850.00,12850.00,0.00,1
76,00,00,12850.00,12800.00,-50.00,1
77,00,00,12800.00,12850.00,50.00,1
78,00,00,12850.00,12850.00,0.00,1
79,80,00,12850.00,12850.00,0.00,0
80,1F,20,12850.00,12850.00,0.00,0
81,04,04,12800.00,12800.00,0.00,1
82,78,78,12850.00,12850.00,0.00,1
83,00,00,12850.00,12850.00,0.00,1
84,00,00,12800.00,12850.00,50.00,1
85,00,00,12850.00,12850.00,0.00,1
86,00,00,12850.00,12800.00,-50.00,1
87,01,01,12850.00,12850.00,0.00,1
88,00,00,12800.00,12850.00,50.00,1
89,00,00,12850.00,12850.00,0.00,1
90,00,00,12850.00,12800.00,-50.00,1
91,00,00,12800.00,12850.00,50.00,1
92,00,00,12850.00,12850.00,0.00,1
93,CE,4D,12850.00,12850.00,0.00,0
94,FF,FF,50144600.00,49361550.00,-783050.00,1
95,FF,FF,10950.00,11000.00,50.00,1
96,02,02,11000.00,10950.00,-50.00,1
97,04,04,10950.00,10950.00,0.00,1
98,02,02,10950.00,11000.00,50.00,1
