Id,DeltaTime[ns],0:UART: RX/TX
1,0.00,FF
2,10950.00,FF
3,11000.00,0D
4,10950.00,04
5,10950.00,02
6,10950.00,38
7,92700.00,11
8,126500.00,A3
9,46550.00,FF
10,9950.00,FF
11,9950.00,0D
12,10000.00,13
13,9950.00,00
14,9950.00,CC
15,10000.00,08
16,9950.00,00
17,9950.00,00
18,10000.00,00
19,9950.00,00
20,9950.00,7A
21,10000.00,19
22,9950.00,00
23,9950.00,00
24,10000.00,00
25,9950.00,CC
26,10000.00,08
27,9950.00,00
28,9950.00,00
29,10000.00,00
30,9950.00,00
31,9950.00,A4
32,49957350.00,FF
33,11000.00,FF
34,10950.00,0D
35,10950.00,04
36,11000.00,02
37,10950.00,38
38,178350.00,11
39,48800.00,A3
40,41550.00,FF
41,9950.00,FF
42,10000.00,0D
43,9950.00,13
44,9950.00,00
45,10000.00,CC
46,9950.00,08
47,9950.00,00
48,10000.00,00
49,9950.00,00
50,10000.00,00
51,9950.00,7A
52,9950.00,19
53,9950.00,00
54,10000.00,00
55,9950.00,00
56,9950.00,CC
57,10000.00,08
58,9950.00,00
59,10000.00,00
60,9950.00,00
61,9950.00,00
62,10000.00,A4
63,49754100.00,FF
64,11000.00,FF
65,10950.00,0D
66,10950.00,04
67,11000.00,02
68,10950.00,38
69,125600.00,11
70,61800.00,A3
71,42750.00,FF
72,10000.00,FF
73,9950.00,0D
74,9950.00,13
75,10000.00,00
76,9950.00,CC
77,9950.00,08
78,9950.00,00
79,10000.00,00
80,9950.00,00
81,9950.00,00
82,10000.00,7A
83,9950.00,19
84,9950.00,00
85,10000.00,00
86,9950.00,00
87,9950.00,CC
88,10000.00,08
89,9950.00,00
90,9950.00,00
91,10000.00,00
92,9950.00,00
93,9950.00,A4
94,49457350.00,FF
95,10950.00,FF
96,10950.00,0D
97,10950.00,04
98,10950.00,02
99,11000.00,38
100,70700.00,11
101,62800.00,A3
102,45750.00,FF
103,9950.00,FF
104,9950.00,0D
105,10000.00,13
106,9950.00,00
107,9950.00,CC
108,10000.00,08
109,9950.00,00
110,9950.00,00
111,9950.00,00
112,10000.00,00
113,9950.00,7A
114,9950.00,19
115,10000.00,00
116,9950.00,00
117,9950.00,00
118,10000.00,CC
119,9950.00,08
120,9950.00,00
121,10000.00,00
122,9950.00,00
123,9950.00,00
124,9950.00,A4
125,48799300.00,FF
126,10950.00,FF
127,11000.00,0D
128,10950.00,04
129,10950.00,02
130,10950.00,38
131,77750.00,11
132,72800.00,A3
133,45950.00,FF
134,9950.00,FF
135,9950.00,0D
136,10000.00,13
137,9950.00,00
138,9950.00,CC
139,9950.00,08
140,10000.00,00
141,9950.00,00
142,9950.00,00
143,10000.00,00
144,9950.00,7A
145,9950.00,19
146,9950.00,00
147,10000.00,00
148,9950.00,00
149,9950.00,CC
150,9950.00,08
151,10000.00,00
152,9950.00,00
153,9950.00,00
154,10000.00,00
155,9950.00,A4
156,49666250.00,FF
157,10950.00,FF
158,11000.00,0D
159,10950.00,04
160,10950.00,02
161,11000.00,38
162,57800.00,11
163,73750.00,A3
164,44300.00,FF
165,9950.00,FF
166,9950.00,0D
167,10000.00,13
168,9950.00,00
169,9950.00,CC
170,10000.00,08
171,9950.00,00
172,9950.00,00
173,10000.00,00
174,9950.00,00
175,10000.00,7A
176,9950.00,19
177,9950.00,00
178,10000.00,00
