Id,DeltaTime[ns],0:UART: RX/TX
1,0.00,FF
2,10950.00,FF
3,10950.00,03
4,10950.00,04
5,11000.00,02
6,10950.00,38
7,101600.00,11
8,65750.00,AD
9,46600.00,FF
10,9950.00,FF
11,9950.00,03
12,9950.00,13
13,10000.00,00
14,9950.00,6F
15,9950.00,07
16,9950.00,00
17,9950.00,00
18,9950.00,00
19,9950.00,00
20,10000.00,7A
21,9950.00,00
22,9950.00,00
23,9950.00,00
24,9950.00,00
25,9950.00,6F
26,9950.00,07
27,9950.00,9B
28,9950.00,03
29,9950.00,00
30,10000.00,00
31,9950.00,E5
32,49116000.00,FF
33,10950.00,FF
34,10950.00,03
35,11000.00,04
36,10950.00,02
37,10950.00,38
38,252200.00,11
39,80750.00,AD
40,45600.00,FF
41,9950.00,FF
42,9950.00,03
43,9950.00,13
44,9950.00,00
45,9950.00,6F
46,9950.00,07
47,9950.00,00
48,10000.00,00
49,9950.00,00
50,9950.00,00
51,9950.00,7A
52,9950.00,00
53,9950.00,00
54,9950.00,00
55,9950.00,00
56,9950.00,6F
57,10000.00,07
58,9950.00,9C
59,9950.00,03
60,9950.00,00
61,9950.00,00
62,9950.00,E4
63,49758750.00,FF
64,10950.00,FF
65,10950.00,03
66,10950.00,04
67,11000.00,02
68,10950.00,38
69,118600.00,11
70,97700.00,AD
71,45950.00,FF
72,9950.00,FF
73,9950.00,03
74,9950.00,13
75,9950.00,00
76,10000.00,6F
77,9950.00,07
78,9950.00,00
79,9950.00,00
80,9950.00,00
81,9950.00,00
82,9950.00,7A
83,10000.00,00
84,9950.00,00
85,9950.00,00
86,9950.00,00
87,9950.00,6F
88,9950.00,07
89,9950.00,9B
90,10000.00,03
91,9950.00,00
92,9950.00,00
93,9950.00,E5
94,48987050.00,FF
95,10950.00,FF
96,11000.00,03
97,10950.00,04
98,10950.00,02
99,10950.00,38
100,34900.00,11
101,127550.00,AD
102,43150.00,FF
103,9950.00,FF
104,9950.00,03
105,9950.00,13
106,9950.00,00
107,9950.00,6F
108,10000.00,07
109,9950.00,00
110,9950.00,00
111,9950.00,00
112,9950.00,00
113,9950.00,7A
114,9950.00,00
115,10000.00,00
116,9950.00,00
117,9950.00,00
118,9950.00,6F
119,9950.00,07
120,9950.00,9D
121,10000.00,03
122,9950.00,00
123,9950.00,00
124,9950.00,E3
125,49552450.00,FF
126,10950.00,FF
127,10950.00,03
128,10950.00,04
129,10950.00,02
130,11000.00,38
131,25900.00,11
132,134450.00,AD
133,40900.00,FF
134,9950.00,FF
135,9950.00,03
136,10000.00,13
137,9950.00,00
138,9950.00,6F
139,9950.00,07
140,9950.00,00
141,9950.00,00
142,9950.00,00
143,9950.00,00
144,10000.00,7A
145,9950.00,00
146,9950.00,00
147,9950.00,00
148,9950.00,00
149,9950.00,6F
150,9950.00,07
151,9950.00,9D
152,9950.00,03
153,10000.00,00
154,9950.00,00
155,9950.00,E3
156,49642100.00,FF
157,10950.00,FF
158,10950.00,03
159,10950.00,04
160,11000.00,02
161,10950.00,38
162,34900.00,11
163,136500.00,AD
164,44100.00,FF
165,9950.00,FF
166,9950.00,03
167,9950.00,13
168,10000.00,00
169,9950.00,6F
170,9950.00,07
171,9950.00,00
172,9950.00,00
173,9950.00,00
174,10000.00,00
175,9950.00,7A
176,9950.00,00
177,9950.00,00
178,9950.00,00
179,9950.00,00
