Id,DeltaTime[ns],0:UART: RX/TX
1,0.00,FF
2,10950.00,FF
3,10950.00,07
4,10950.00,04
5,11000.00,02
6,10950.00,38
7,57800.00,11
8,110650.00,A9
9,48300.00,FF
10,9950.00,FF
11,9900.00,07
12,9950.00,13
13,9900.00,00
14,9950.00,A5
15,9950.00,08
16,9900.00,00
17,9950.00,00
18,9900.00,00
19,9950.00,00
20,9950.00,7A
21,9900.00,1F
22,9950.00,00
23,9900.00,00
24,9950.00,00
25,9950.00,A5
26,9900.00,08
27,9950.00,00
28,9900.00,00
29,9950.00,00
30,9950.00,00
31,9900.00,F2
32,49263900.00,FF
33,10950.00,FF
34,10950.00,07
35,10950.00,04
36,11000.00,02
37,10950.00,38
38,90700.00,11
39,119650.00,A9
40,44400.00,FF
41,9950.00,FF
42,9900.00,07
43,9950.00,13
44,9900.00,00
45,9950.00,A5
46,9950.00,08
47,9900.00,00
48,9950.00,00
49,9900.00,00
50,9950.00,00
51,9950.00,7A
52,9900.00,1F
53,9950.00,00
54,9900.00,00
55,9950.00,00
56,9950.00,A5
57,9950.00,08
58,9900.00,00
59,9950.00,00
60,9900.00,00
61,9950.00,00
62,9950.00,F2
63,49495600.00,FF
64,11000.00,FF
65,10950.00,07
66,10950.00,04
67,10950.00,02
68,11000.00,38
69,75700.00,11
70,120650.00,A9
71,41650.00,FF
72,9950.00,FF
73,9950.00,07
74,9900.00,13
75,9950.00,00
76,9900.00,A5
77,9950.00,08
78,9950.00,00
79,9900.00,00
80,9950.00,00
81,9950.00,00
82,9900.00,7A
83,9950.00,1F
84,9950.00,00
85,9900.00,00
86,9950.00,00
87,9950.00,A5
88,9900.00,08
89,9950.00,00
90,9950.00,00
91,9900.00,00
92,9950.00,00
93,9950.00,F2
94,49432250.00,FF
95,10950.00,FF
96,11000.00,07
97,10950.00,04
98,10950.00,02
99,10950.00,38
100,70800.00,11
101,156450.00,A9
102,44450.00,FF
103,9950.00,FF
104,9950.00,07
105,9900.00,13
106,9950.00,00
107,9900.00,A5
108,9950.00,08
109,9900.00,00
110,9950.00,00
111,9950.00,00
112,9900.00,00
113,9950.00,7A
114,9900.00,1F
115,9950.00,00
116,9950.00,00
117,9900.00,00
118,9950.00,A5
119,9950.00,08
120,9900.00,00
121,9950.00,00
122,9950.00,00
123,9900.00,00
124,9950.00,F2
125,49466650.00,FF
126,11000.00,FF
127,10950.00,07
128,10950.00,04
129,10950.00,02
130,10950.00,38
131,128550.00,11
132,167400.00,A9
133,43200.00,FF
134,9900.00,FF
135,9950.00,07
136,9900.00,13
137,9950.00,00
138,9950.00,A5
139,9900.00,08
140,9950.00,00
141,9950.00,00
142,9900.00,00
143,9950.00,00
144,9900.00,7A
145,9950.00,1F
146,9950.00,00
147,9900.00,00
148,9950.00,00
149,9950.00,A5
150,9900.00,08
151,9950.00,00
152,9950.00,00
153,9900.00,00
154,9950.00,00
155,9900.00,F2
156,49692550.00,FF
157,10950.00,FF
158,10950.00,07
159,10950.00,04
160,10950.00,02
161,10950.00,38
162,70750.00,11
163,105650.00,A9
164,43550.00,FF
165,9950.00,FF
166,9900.00,07
167,9950.00,13
168,9900.00,00
169,9950.00,A5
170,9900.00,08
171,9950.00,00
172,9900.00,00
173,9950.00,00
174,9950.00,00
175,9900.00,7A
176,9950.00,1F
177,9900.00,00
178,9950.00,00
179,9950.00,00
