Id,DeltaTime[ns],0:UART: RX/TX
1,0.00,FF
2,10950.00,FF
3,11000.00,02
4,10950.00,04
5,10950.00,02
6,10950.00,38
7,151400.00,11
8,57750.00,AE
9,26100.00,FF
10,9900.00,FF
11,9850.00,02
12,9900.00,13
13,9900.00,00
14,9850.00,02
15,9900.00,00
16,9900.00,00
17,9850.00,80
18,9900.00,01
19,9900.00,04
20,9850.00,78
21,9900.00,00
22,9900.00,00
23,9850.00,00
24,9900.00,00
25,9900.00,01
26,9850.00,00
27,9900.00,00
28,9900.00,00
29,9850.00,00
30,9900.00,00
31,9850.00,EA
32,48867550.00,FF
33,11000.00,FF
34,10950.00,02
35,10950.00,04
36,10950.00,02
37,10950.00,38
38,140400.00,11
39,59750.00,AE
40,27450.00,FF
41,9900.00,FF
42,9900.00,02
43,9850.00,13
44,9900.00,00
45,9900.00,02
46,9850.00,00
47,9900.00,00
48,9900.00,80
49,9850.00,00
50,9900.00,04
51,9900.00,78
52,9850.00,00
53,9900.00,00
54,9900.00,00
55,9850.00,00
56,9900.00,01
57,9900.00,00
58,9900.00,00
59,9850.00,00
60,9900.00,00
61,9900.00,00
62,9850.00,EB
63,49498200.00,FF
64,11000.00,FF
65,10950.00,02
66,10950.00,04
67,10950.00,02
68,10950.00,38
69,153450.00,11
70,59750.00,AE
71,25550.00,FF
72,9900.00,FF
73,9900.00,02
74,9900.00,13
75,9850.00,00
76,9900.00,02
77,9900.00,00
78,9850.00,00
79,9900.00,80
80,9900.00,00
81,9900.00,04
82,9850.00,78
83,9900.00,00
84,9900.00,00
85,9900.00,00
86,9850.00,00
87,9900.00,01
88,9900.00,00
89,9850.00,00
90,9900.00,00
91,9900.00,00
92,9900.00,00
93,9850.00,EB
94,49439900.00,FF
95,10950.00,FF
96,10950.00,02
97,11000.00,04
98,10950.00,02
99,10950.00,38
100,11950.00,11
101,53800.00,AE
102,26500.00,FF
103,9900.00,FF
104,9850.00,02
105,9900.00,13
106,9900.00,00
107,9850.00,02
108,9900.00,00
109,9900.00,00
110,9900.00,80
111,9850.00,00
112,9900.00,04
113,9900.00,78
114,9850.00,00
115,9900.00,00
116,9900.00,00
117,9900.00,00
118,9850.00,01
119,9900.00,00
120,9900.00,00
121,9900.00,00
122,9850.00,00
123,9900.00,00
124,9900.00,EB
125,50549000.00,FF
126,10950.00,FF
127,11000.00,02
128,10950.00,04
129,10950.00,02
130,11000.00,38
131,172400.00,11
132,62750.00,AE
133,26000.00,FF
134,9850.00,FF
135,9900.00,02
136,9900.00,13
137,9850.00,00
138,9900.00,02
139,9900.00,00
140,9900.00,00
141,9850.00,80
142,9900.00,00
143,9900.00,00
144,9900.00,78
145,9850.00,00
146,9900.00,00
147,9900.00,00
148,9900.00,00
149,9850.00,01
150,9900.00,00
151,9900.00,00
152,9850.00,00
153,9900.00,00
154,9900.00,00
155,9900.00,EF
156,49274200.00,FF
157,10950.00,FF
158,10950.00,02
159,10950.00,04
160,11000.00,02
161,10950.00,38
162,34850.00,11
163,66750.00,AE
164,27750.00,FF
165,9900.00,FF
166,9900.00,02
167,9850.00,13
168,9900.00,00
169,9900.00,02
170,9850.00,00
171,9900.00,00
172,9900.00,80
173,9850.00,00
174,9900.00,00
175,9900.00,78
176,9850.00,00
177,9900.00,00
178,9900.00,00
179,9850.00,00
180,9900.00,01
181,9900.00,00
182,9900.00,00
