Id,DeltaTime[ns],0:UART: RX/TX
1,0.00,FF
2,10950.00,FF
3,10950.00,02
4,10950.00,04
5,10950.00,02
6,10950.00,38
7,65750.00,11
8,117500.00,AE
9,25900.00,FF
10,9850.00,FF
11,9850.00,02
12,9900.00,13
13,9850.00,00
14,9900.00,03
15,9850.00,08
16,9900.00,00
17,9850.00,00
18,9900.00,09
19,9850.00,04
20,9900.00,78
21,9850.00,00
22,9900.00,00
23,9850.00,00
24,9900.00,00
25,9850.00,FF
26,9900.00,07
27,9850.00,00
28,9900.00,00
29,9850.00,00
30,9900.00,00
31,9850.00,54
32,49020300.00,FF
33,10950.00,FF
34,10950.00,02
35,10950.00,04
36,10950.00,02
37,10950.00,38
38,49800.00,11
39,108600.00,AE
40,26650.00,FF
41,9850.00,FF
42,9900.00,02
43,9850.00,13
44,9850.00,00
45,9900.00,03
46,9850.00,08
47,9900.00,00
48,9900.00,00
49,9850.00,08
50,9900.00,04
51,9850.00,78
52,9850.00,00
53,9900.00,00
54,9850.00,00
55,9900.00,00
56,9850.00,FF
57,9900.00,07
58,9850.00,00
59,9900.00,00
60,9850.00,00
61,9900.00,00
62,9850.00,55
63,49552600.00,FF
64,10950.00,FF
65,10950.00,02
66,10950.00,04
67,11000.00,02
68,10950.00,38
69,55750.00,11
70,82650.00,AE
71,26150.00,FF
72,9850.00,FF
73,9900.00,02
74,9850.00,13
75,9850.00,00
76,9900.00,03
77,9850.00,08
78,9900.00,00
79,9850.00,00
80,9900.00,06
81,9850.00,04
82,9900.00,78
83,9850.00,00
84,9900.00,00
85,9850.00,00
86,9900.00,00
87,9850.00,FF
88,9900.00,07
89,9850.00,00
90,9900.00,00
91,9850.00,00
92,9900.00,00
93,9850.00,57
94,49568050.00,FF
95,10950.00,FF
96,10950.00,02
97,10950.00,04
98,10950.00,02
99,10950.00,38
100,126500.00,11
101,110550.00,AE
102,26800.00,FF
103,9900.00,FF
104,9850.00,02
105,9900.00,13
106,9850.00,00
107,9900.00,03
108,9850.00,08
109,9900.00,00
110,9850.00,00
111,9900.00,05
112,9850.00,04
113,9900.00,78
114,9850.00,00
115,9900.00,00
116,9850.00,00
117,9900.00,00
118,9850.00,FF
119,9900.00,07
120,9850.00,00
121,9900.00,00
122,9850.00,00
123,9900.00,00
124,9850.00,58
125,49496000.00,FF
126,10950.00,FF
127,10950.00,02
128,10950.00,04
129,11000.00,02
130,10950.00,38
131,117500.00,11
132,111550.00,AE
133,27150.00,FF
134,9850.00,FF
135,9900.00,02
136,9850.00,13
137,9850.00,00
138,9900.00,03
139,9850.00,08
140,9900.00,00
141,9850.00,00
142,9900.00,04
143,9850.00,04
144,9900.00,78
145,9850.00,00
146,9900.00,00
147,9850.00,00
148,9900.00,00
149,9850.00,FF
150,9900.00,07
151,9850.00,00
152,9900.00,00
153,9850.00,00
154,9900.00,00
155,9850.00,59
156,49443950.00,FF
157,10950.00,FF
158,10950.00,02
159,10950.00,04
160,10950.00,02
161,10950.00,38
162,91650.00,11
163,113550.00,AE
164,25700.00,FF
165,9850.00,FF
166,9900.00,02
167,9850.00,13
168,9850.00,00
169,9900.00,03
170,9850.00,08
171,9900.00,00
172,9850.00,00
173,9900.00,03
174,9850.00,04
175,9900.00,78
176,9850.00,00
177,9900.00,00
178,9850.00,00
179,9900.00,00
180,9850.00,FF
181,9900.00,07
