Id,DeltaTime[ns],0:UART: RX/TX
1,0.00,FF
2,10950.00,FF
3,10950.00,02
4,10950.00,04
5,11000.00,02
6,10950.00,38
7,43800.00,11
8,80700.00,AE
9,36200.00,FF
10,9900.00,FF
11,9850.00,02
12,9900.00,13
13,9850.00,00
14,9900.00,02
15,9900.00,08
16,9850.00,00
17,9900.00,80
18,9900.00,06
19,9850.00,04
20,9900.00,78
21,9850.00,00
22,9900.00,00
23,9900.00,00
24,9850.00,00
25,9900.00,00
26,9900.00,08
27,9850.00,00
28,9900.00,00
29,9850.00,00
30,9900.00,00
31,9850.00,D6
32,62062950.00,FF
33,10950.00,FF
34,10950.00,02
35,10950.00,04
36,10950.00,02
37,11000.00,38
38,54750.00,11
39,82650.00,AE
40,56900.00,FF
41,9900.00,FF
42,9850.00,02
43,9900.00,13
44,9850.00,00
45,9900.00,02
46,9900.00,08
47,9850.00,00
48,9900.00,80
49,9900.00,05
50,9850.00,04
51,9900.00,78
52,9900.00,00
53,9850.00,00
54,9900.00,00
55,9850.00,00
56,9900.00,00
57,9900.00,08
58,9850.00,00
59,9900.00,00
60,9850.00,00
61,9900.00,00
62,9900.00,D7
63,45530250.00,FF
64,10950.00,FF
65,10950.00,02
66,10950.00,04
67,11000.00,02
68,10950.00,38
69,23900.00,11
70,111600.00,AE
71,58300.00,FF
72,9900.00,FF
73,9850.00,02
74,9900.00,13
75,9850.00,00
76,9900.00,02
77,9900.00,08
78,9850.00,00
79,9900.00,80
80,9900.00,04
81,9850.00,04
82,9900.00,78
83,9850.00,00
84,9900.00,00
85,9900.00,00
86,9850.00,00
87,9900.00,00
88,9850.00,08
89,9900.00,00
90,9900.00,00
91,9850.00,00
92,9900.00,00
93,9850.00,D8
94,45413450.00,FF
95,11000.00,FF
96,10950.00,02
97,10950.00,04
98,11000.00,02
99,10950.00,38
100,25900.00,11
101,80750.00,AE
102,57250.00,FF
103,9900.00,FF
104,9850.00,02
105,9900.00,13
106,9850.00,00
107,9900.00,02
108,9850.00,08
109,9900.00,00
110,9900.00,80
111,9900.00,03
112,9850.00,04
113,9900.00,78
114,9850.00,00
115,9900.00,00
116,9900.00,00
117,9850.00,00
118,9900.00,00
119,9850.00,08
120,9900.00,00
121,9900.00,00
122,9850.00,00
123,9900.00,00
124,9850.00,D9
125,46715200.00,FF
126,10950.00,FF
127,10950.00,02
128,11000.00,04
129,10950.00,02
130,10950.00,38
131,41850.00,11
132,81700.00,AE
133,37500.00,FF
134,9900.00,FF
135,9850.00,02
136,9900.00,13
137,9900.00,00
138,9850.00,02
139,9900.00,08
140,9850.00,00
141,9900.00,80
142,9900.00,02
143,9850.00,04
144,9900.00,78
145,9900.00,00
146,9850.00,00
147,9900.00,00
148,9850.00,00
149,9900.00,00
150,9900.00,08
151,9850.00,00
152,9900.00,00
153,9850.00,00
154,9900.00,00
155,9900.00,DA
156,60631950.00,FF
157,11000.00,FF
158,10950.00,02
159,10950.00,04
160,11950.00,02
161,11000.00,38
162,32850.00,11
163,93650.00,AE
164,56850.00,FF
165,9900.00,FF
166,9850.00,02
167,9900.00,13
168,9850.00,00
169,9900.00,02
170,9900.00,08
171,9850.00,00
172,9900.00,80
173,9900.00,01
174,9850.00,04
175,9900.00,78
176,9850.00,00
177,9900.00,00
178,9900.00,00
179,9850.00,00
180,9900.00,00
181,9850.00,08
182,9900.00,00
