Id,DeltaTime[ns],0:UART: RX/TX
1,0.00,FF
2,10950.00,FF
3,11000.00,02
4,10950.00,04
5,10950.00,02
6,10950.00,38
7,68750.00,11
8,111600.00,AE
9,56650.00,FF
10,12850.00,FF
11,12850.00,02
12,12800.00,13
13,12850.00,00
14,12850.00,00
15,12850.00,00
16,12850.00,00
17,12800.00,00
18,12850.00,20
19,12850.00,04
20,12850.00,78
21,12800.00,00
22,12850.00,00
23,12850.00,00
24,12850.00,00
25,12800.00,01
26,12850.00,00
27,12850.00,00
28,12850.00,00
29,12800.00,00
30,12850.00,00
31,13850.00,4D
32,49410250.00,FF
33,10950.00,FF
34,10950.00,02
35,11000.00,04
36,10950.00,02
37,10950.00,38
38,41850.00,11
39,106650.00,AE
40,37600.00,FF
41,12850.00,FF
42,12800.00,02
43,12850.00,13
44,12850.00,00
45,12850.00,00
46,12800.00,00
47,12850.00,00
48,12850.00,00
49,12850.00,20
50,12800.00,04
51,12850.00,78
52,12850.00,00
53,12850.00,00
54,12800.00,00
55,12850.00,00
56,12850.00,01
57,12850.00,00
58,12800.00,00
59,12850.00,00
60,12850.00,00
61,12850.00,00
62,12800.00,4D
63,49430350.00,FF
64,10950.00,FF
65,10950.00,02
66,10950.00,04
67,11000.00,02
68,10950.00,38
69,118600.00,11
70,129500.00,AE
71,58800.00,FF
72,12800.00,FF
73,12850.00,02
74,12850.00,13
75,12850.00,00
76,12800.00,00
77,12850.00,00
78,12850.00,00
79,12850.00,00
80,12850.00,20
81,12800.00,04
82,12850.00,78
83,12850.00,00
84,12850.00,00
85,12850.00,00
86,12800.00,00
87,12850.00,01
88,12850.00,00
89,12850.00,00
90,12800.00,00
91,12850.00,00
92,12850.00,00
93,12850.00,4D
94,49361550.00,FF
95,11000.00,FF
96,10950.00,02
97,10950.00,04
98,11000.00,02
99,10950.00,38
100,64800.00,11
101,107650.00,AE
102,56450.00,FF
103,12850.00,FF
104,12850.00,02
105,12800.00,13
106,12850.00,00
107,12850.00,00
108,12850.00,00
109,12800.00,00
110,12850.00,00
111,12850.00,20
112,12850.00,04
113,12850.00,78
114,12800.00,00
115,12850.00,00
116,12850.00,00
117,12850.00,00
118,12850.00,01
119,12800.00,00
120,12850.00,00
121,12850.00,00
122,12850.00,00
123,12800.00,00
124,12850.00,4D
125,49166850.00,FF
126,11000.00,FF
127,10950.00,02
128,10950.00,04
129,11000.00,02
130,10950.00,38
131,86750.00,11
132,124650.00,AE
133,56550.00,FF
134,12850.00,FF
135,12850.00,02
136,12850.00,13
137,12800.00,00
138,12850.00,00
139,12850.00,00
140,12850.00,00
141,12850.00,00
142,12800.00,20
143,12850.00,04
144,12850.00,78
145,12850.00,00
146,12800.00,00
147,12850.00,00
148,12850.00,00
149,12850.00,01
150,12800.00,00
151,12850.00,00
152,12850.00,00
153,12850.00,00
154,12850.00,00
155,12800.00,4D
156,49791650.00,FF
157,10950.00,FF
158,11000.00,02
159,10950.00,04
160,10950.00,02
161,10950.00,38
162,66850.00,11
163,100650.00,AE
164,36300.00,FF
165,12850.00,FF
166,12800.00,02
167,12850.00,13
168,12850.00,00
169,12850.00,00
170,12850.00,00
171,12850.00,00
172,12800.00,00
173,12850.00,20
174,12850.00,04
175,12850.00,78
176,12850.00,00
177,12850.00,00
178,12800.00,00
179,12850.00,00
180,12850.00,01
181,12850.00,00
182,12850.00,00
