Id,Time[ns],0:UART: RX/TX
1,6437600.00,FF
2,6448650.00,FF
3,6459650.00,03
4,6470700.00,04
5,6481700.00,02
6,6492700.00,38
7,6536800.00,11
8,6605900.00,AD
9,6648250.00,FF
10,6658200.00,FF
11,6668200.00,03
12,6678150.00,13
13,6688150.00,00
14,6698150.00,04
15,6708100.00,09
16,6718100.00,00
17,6728050.00,00
18,6738050.00,00
19,6748000.00,00
20,6758000.00,31
21,6767950.00,18
22,6777950.00,00
23,6787900.00,00
24,6797900.00,00
25,6807850.00,04
26,6817850.00,09
27,6827800.00,00
28,6837800.00,00
29,6847750.00,00
30,6857750.00,00
31,6867700.00,86
32,56330850.00,FF
33,56341850.00,FF
34,56352900.00,03
35,56363900.00,04
36,56374900.00,02
37,56385950.00,38
38,56402950.00,11
39,56466100.00,AD
40,56511800.00,FF
41,56521750.00,FF
42,56531750.00,03
43,56541700.00,13
44,56551700.00,00
45,56561650.00,04
46,56571650.00,09
47,56581600.00,00
48,56591600.00,00
49,56601550.00,00
50,56611550.00,00
51,56621500.00,30
52,56631500.00,18
53,56641450.00,00
54,56651450.00,00
55,56661400.00,00
56,56671400.00,04
57,56681350.00,09
58,56691300.00,00
59,56701300.00,00
60,56711250.00,00
61,56721250.00,00
62,56731200.00,87
63,106840250.00,FF
64,106851250.00,FF
65,106862300.00,03
66,106873300.00,04
67,106884300.00,02
68,106895350.00,38
69,106906350.00,11
70,106960450.00,AD
71,107003500.00,FF
72,107013450.00,FF
73,107023450.00,03
74,107033400.00,13
75,107043400.00,00
76,107053350.00,04
77,107063350.00,09
78,107073300.00,00
79,107083300.00,00
80,107093250.00,00
81,107103250.00,00
82,107113200.00,30
83,107123200.00,18
84,107133150.00,00
85,107143150.00,00
86,107153100.00,00
87,107163100.00,04
88,107173050.00,09
89,107183050.00,00
90,107193000.00,00
91,107203000.00,00
92,107212950.00,00
93,107222950.00,87
94,156356550.00,FF
95,156367550.00,FF
96,156378600.00,03
97,156389600.00,04
98,156400650.00,02
99,156411650.00,38
100,156431700.00,11
101,156489800.00,AD
102,156538750.00,FF
103,156548700.00,FF
104,156558700.00,03
105,156568650.00,13
106,156578650.00,00
107,156588600.00,04
108,156598600.00,09
109,156608550.00,00
110,156618550.00,00
111,156628500.00,00
112,156638500.00,00
113,156648450.00,30
114,156658450.00,18
115,156668400.00,00
116,156678400.00,00
117,156688350.00,00
118,156698350.00,04
119,156708300.00,09
120,156718300.00,00
121,156728250.00,00
122,156738250.00,00
123,156748200.00,00
124,156758200.00,87
125,206215650.00,FF
126,206226650.00,FF
127,206237700.00,03
128,206248700.00,04
129,206259700.00,02
130,206270750.00,38
131,206443100.00,11
132,206500200.00,AD
133,206545400.00,FF
134,206555400.00,FF
135,206565350.00,03
136,206575350.00,13
137,206585300.00,00
138,206595300.00,04
139,206605250.00,09
140,206615250.00,00
141,206625200.00,00
142,206635200.00,00
143,206645150.00,00
144,206655150.00,31
145,206665100.00,18
146,206675100.00,00
147,206685050.00,00
148,206695050.00,00
149,206705000.00,04
150,206715000.00,09
151,206724950.00,00
152,206734950.00,00
153,206744900.00,00
154,206754900.00,00
155,206764850.00,86
156,256162650.00,FF
157,256173650.00,FF
158,256184700.00,03
159,256195700.00,04
160,256206700.00,02
161,256217750.00,38
162,256237750.00,11
163,256299850.00,AD
164,256343800.00,FF
165,256353800.00,FF
166,256363750.00,03
167,256373750.00,13
168,256383700.00,00
169,256393700.00,04
170,256403650.00,09
171,256413650.00,00
172,256423600.00,00
173,256433600.00,00
174,256443550.00,00
175,256453550.00,30
176,256463500.00,18
177,256473450.00,00
178,256483450.00,00
179,256493400.00,00
180,256503400.00,04
181,256513350.00,09
182,256523350.00,00
183,256533300.00,00
184,256543300.00,00
185,256553250.00,00
186,256563250.00,87
187,306241600.00,FF
188,306252600.00,FF
189,306263600.00,03
190,306274650.00,04
191,306285650.00,02
192,306296700.00,38
193,306458050.00,11
194,306521150.00,AD
195,306562150.00,FF
196,306572100.00,FF
197,306582100.00,03
198,306592050.00,13
199,306602050.00,00
200,306612000.00,04
201,306622000.00,09
202,306631950.00,00
203,306641950.00,00
204,306651900.00,00
205,306661900.00,00
206,306671850.00,30
207,306681850.00,18
208,306691800.00,00
209,306701800.00,00
210,306711750.00,00
211,306721750.00,04
212,306731700.00,09
213,306741700.00,00
214,306751650.00,00
215,306761650.00,00
216,306771600.00,00
217,306781600.00,87
218,356907750.00,FF
219,356918750.00,FF
220,356929800.00,03
221,356940800.00,04
222,356951800.00,02
223,356962850.00,38
224,357133100.00,11
225,357202200.00,AD
226,357246500.00,FF
227,357256450.00,FF
228,357266450.00,03
229,357276400.00,13
230,357286400.00,00
231,357296350.00,04
232,357306350.00,09
233,357316300.00,00
234,357326300.00,00
235,357336250.00,00
236,357346250.00,00
237,357356200.00,31
238,357366200.00,18
239,357376150.00,00
240,357386150.00,00
241,357396100.00,00
242,357406100.00,04
243,357416050.00,09
244,357426050.00,00
245,357436000.00,00
246,357446000.00,00
247,357455950.00,00
248,357465950.00,86
249,401612800.00,00
250,406693500.00,FF
251,406704550.00,FF
252,406715550.00,03
253,406726550.00,04
254,406737550.00,02
255,406748600.00,38
256,406812650.00,11
257,406878700.00,AD
258,406925200.00,FF
259,406935200.00,FF
260,406945150.00,03
261,406955150.00,13
