from_id,to_id,from_time_ns,to_time_ns,delta_ns,delta_us,delta_ms,from_byte,to_byte
1,2,35084150.00,35095200.00,11050.00,11.050000,0.011050000,FF,FF
2,3,35095200.00,35106200.00,11000.00,11.000000,0.011000000,FF,01
3,4,35106200.00,35117250.00,11050.00,11.050000,0.011050000,01,04
4,5,35117250.00,35128250.00,11000.00,11.000000,0.011000000,04,02
5,6,35128250.00,35139300.00,11050.00,11.050000,0.011050000,02,38
6,7,35139300.00,35151300.00,12000.00,12.000000,0.012000000,38,11
7,8,35151300.00,35198400.00,47100.00,47.100000,0.047100000,11,AF
8,9,35198400.00,35254950.00,56550.00,56.550000,0.056550000,AF,FF
9,10,35254950.00,35267800.00,12850.00,12.850000,0.012850000,FF,FF
10,11,35267800.00,35280700.00,12900.00,12.900000,0.012900000,FF,01
11,12,35280700.00,35293550.00,12850.00,12.850000,0.012850000,01,13
12,13,35293550.00,35306400.00,12850.00,12.850000,0.012850000,13,00
13,14,35306400.00,35319250.00,12850.00,12.850000,0.012850000,00,1C
14,15,35319250.00,35332100.00,12850.00,12.850000,0.012850000,1C,0B
15,16,35332100.00,35344950.00,12850.00,12.850000,0.012850000,0B,00
16,17,35344950.00,35357800.00,12850.00,12.850000,0.012850000,00,00
17,18,35357800.00,35370700.00,12900.00,12.900000,0.012900000,00,80
18,19,35370700.00,35383550.00,12850.00,12.850000,0.012850000,80,04
19,20,35383550.00,35396400.00,12850.00,12.850000,0.012850000,04,2C
20,21,35396400.00,35409250.00,12850.00,12.850000,0.012850000,2C,00
21,22,35409250.00,35422100.00,12850.00,12.850000,0.012850000,00,00
22,23,35422100.00,35434950.00,12850.00,12.850000,0.012850000,00,00
23,24,35434950.00,35447850.00,12900.00,12.900000,0.012900000,00,00
24,25,35447850.00,35460700.00,12850.00,12.850000,0.012850000,00,22
25,26,35460700.00,35473550.00,12850.00,12.850000,0.012850000,22,0B
26,27,35473550.00,35486400.00,12850.00,12.850000,0.012850000,0B,00
27,28,35486400.00,35499250.00,12850.00,12.850000,0.012850000,00,00
28,29,35499250.00,35512100.00,12850.00,12.850000,0.012850000,00,00
29,30,35512100.00,35524950.00,12850.00,12.850000,0.012850000,00,00
30,31,35524950.00,35537850.00,12900.00,12.900000,0.012900000,00,E7
31,32,35537850.00,84627750.00,49089900.00,49089.900000,49.089900000,E7,FF
32,33,84627750.00,84638750.00,11000.00,11.000000,0.011000000,FF,FF
33,34,84638750.00,84649750.00,11000.00,11.000000,0.011000000,FF,01
34,35,84649750.00,84660800.00,11050.00,11.050000,0.011050000,01,04
35,36,84660800.00,84671800.00,11000.00,11.000000,0.011000000,04,02
36,37,84671800.00,84682800.00,11000.00,11.000000,0.011000000,02,38
37,38,84682800.00,84701850.00,19050.00,19.050000,0.019050000,38,11
38,39,84701850.00,84759950.00,58100.00,58.100000,0.058100000,11,AF
39,40,84759950.00,84819200.00,59250.00,59.250000,0.059250000,AF,FF
40,41,84819200.00,84832050.00,12850.00,12.850000,0.012850000,FF,FF
41,42,84832050.00,84844900.00,12850.00,12.850000,0.012850000,FF,01
42,43,84844900.00,84857750.00,12850.00,12.850000,0.012850000,01,13
43,44,84857750.00,84870650.00,12900.00,12.900000,0.012900000,13,00
44,45,84870650.00,84883500.00,12850.00,12.850000,0.012850000,00,1C
45,46,84883500.00,84896350.00,12850.00,12.850000,0.012850000,1C,0B
46,47,84896350.00,84909200.00,12850.00,12.850000,0.012850000,0B,00
47,48,84909200.00,84922050.00,12850.00,12.850000,0.012850000,00,00
48,49,84922050.00,84934900.00,12850.00,12.850000,0.012850000,00,81
49,50,84934900.00,84947800.00,12900.00,12.900000,0.012900000,81,04
50,51,84947800.00,84960650.00,12850.00,12.850000,0.012850000,04,2D
51,52,84960650.00,84973500.00,12850.00,12.850000,0.012850000,2D,00
52,53,84973500.00,84986350.00,12850.00,12.850000,0.012850000,00,00
53,54,84986350.00,84999200.00,12850.00,12.850000,0.012850000,00,00
54,55,84999200.00,85012050.00,12850.00,12.850000,0.012850000,00,00
55,56,85012050.00,85024900.00,12850.00,12.850000,0.012850000,00,22
56,57,85024900.00,85037800.00,12900.00,12.900000,0.012900000,22,0B
57,58,85037800.00,85050650.00,12850.00,12.850000,0.012850000,0B,00
58,59,85050650.00,85063500.00,12850.00,12.850000,0.012850000,00,00
59,60,85063500.00,85076350.00,12850.00,12.850000,0.012850000,00,00
60,61,85076350.00,85089200.00,12850.00,12.850000,0.012850000,00,00
61,62,85089200.00,85102050.00,12850.00,12.850000,0.012850000,00,E5
62,63,85102050.00,134878900.00,49776850.00,49776.850000,49.776850000,E5,FF
63,64,134878900.00,134889900.00,11000.00,11.000000,0.011000000,FF,FF
64,65,134889900.00,134900950.00,11050.00,11.050000,0.011050000,FF,01
65,66,134900950.00,134911950.00,11000.00,11.000000,0.011000000,01,04
66,67,134911950.00,134923000.00,11050.00,11.050000,0.011050000,04,02
67,68,134923000.00,134934000.00,11000.00,11.000000,0.011000000,02,38
68,69,134934000.00,134963050.00,29050.00,29.050000,0.029050000,38,11
69,70,134963050.00,135044200.00,81150.00,81.150000,0.081150000,11,AF
70,71,135044200.00,135081750.00,37550.00,37.550000,0.037550000,AF,FF
71,72,135081750.00,135094600.00,12850.00,12.850000,0.012850000,FF,FF
72,73,135094600.00,135107450.00,12850.00,12.850000,0.012850000,FF,01
73,74,135107450.00,135120300.00,12850.00,12.850000,0.012850000,01,13
74,75,135120300.00,135133150.00,12850.00,12.850000,0.012850000,13,00
75,76,135133150.00,135146000.00,12850.00,12.850000,0.012850000,00,1C
76,77,135146000.00,135158900.00,12900.00,12.900000,0.012900000,1C,0B
77,78,135158900.00,135171750.00,12850.00,12.850000,0.012850000,0B,00
78,79,135171750.00,135184600.00,12850.00,12.850000,0.012850000,00,00
79,80,135184600.00,135197450.00,12850.00,12.850000,0.012850000,00,83
80,81,135197450.00,135210300.00,12850.00,12.850000,0.012850000,83,04
81,82,135210300.00,135223150.00,12850.00,12.850000,0.012850000,04,2C
82,83,135223150.00,135236050.00,12900.00,12.900000,0.012900000,2C,00
83,84,135236050.00,135248900.00,12850.00,12.850000,0.012850000,00,00
84,85,135248900.00,135261750.00,12850.00,12.850000,0.012850000,00,00
85,86,135261750.00,135274600.00,12850.00,12.850000,0.012850000,00,00
86,87,135274600.00,135287450.00,12850.00,12.850000,0.012850000,00,22
87,88,135287450.00,135300300.00,12850.00,12.850000,0.012850000,22,0B
88,89,135300300.00,135313200.00,12900.00,12.900000,0.012900000,0B,00
89,90,135313200.00,135326050.00,12850.00,12.850000,0.012850000,00,00
90,91,135326050.00,135338900.00,12850.00,12.850000,0.012850000,00,00
91,92,135338900.00,135351750.00,12850.00,12.850000,0.012850000,00,00
92,93,135351750.00,135364600.00,12850.00,12.850000,0.012850000,00,E4
93,94,135364600.00,184629550.00,49264950.00,49264.950000,49.264950000,E4,FF
94,95,184629550.00,184640600.00,11050.00,11.050000,0.011050000,FF,FF
95,96,184640600.00,184651600.00,11000.00,11.000000,0.011000000,FF,01
96,97,184651600.00,184662650.00,11050.00,11.050000,0.011050000,01,04
97,98,184662650.00,184673650.00,11000.00,11.000000,0.011000000,04,02
98,99,184673650.00,184684700.00,11050.00,11.050000,0.011050000,02,38
99,100,184684700.00,184724750.00,40050.00,40.050000,0.040050000,38,11
100,101,184724750.00,184862000.00,137250.00,137.250000,0.137250000,11,AF
101,102,184862000.00,184919850.00,57850.00,57.850000,0.057850000,AF,FF
102,103,184919850.00,184932700.00,12850.00,12.850000,0.012850000,FF,FF
103,104,184932700.00,184945550.00,12850.00,12.850000,0.012850000,FF,01
104,105,184945550.00,184958400.00,12850.00,12.850000,0.012850000,01,13
105,106,184958400.00,184971300.00,12900.00,12.900000,0.012900000,13,00
106,107,184971300.00,184984150.00,12850.00,12.850000,0.012850000,00,1C
107,108,184984150.00,184997000.00,12850.00,12.850000,0.012850000,1C,0B
108,109,184997000.00,185009850.00,12850.00,12.850000,0.012850000,0B,00
109,110,185009850.00,185022700.00,12850.00,12.850000,0.012850000,00,00
110,111,185022700.00,185035600.00,12900.00,12.900000,0.012900000,00,85
111,112,185035600.00,185048450.00,12850.00,12.850000,0.012850000,85,04
112,113,185048450.00,185061300.00,12850.00,12.850000,0.012850000,04,2C
113,114,185061300.00,185074150.00,12850.00,12.850000,0.012850000,2C,00
114,115,185074150.00,185087000.00,12850.00,12.850000,0.012850000,00,00
115,116,185087000.00,185099900.00,12900.00,12.900000,0.012900000,00,00
116,117,185099900.00,185112750.00,12850.00,12.850000,0.012850000,00,00
117,118,185112750.00,185125600.00,12850.00,12.850000,0.012850000,00,22
118,119,185125600.00,185138450.00,12850.00,12.850000,0.012850000,22,0B
119,120,185138450.00,185151300.00,12850.00,12.850000,0.012850000,0B,00
120,121,185151300.00,185164200.00,12900.00,12.900000,0.012900000,00,00
121,122,185164200.00,185177050.00,12850.00,12.850000,0.012850000,00,00
122,123,185177050.00,185189900.00,12850.00,12.850000,0.012850000,00,00
123,124,185189900.00,185202750.00,12850.00,12.850000,0.012850000,00,E2
124,125,185202750.00,234473350.00,49270600.00,49270.600000,49.270600000,E2,FF
125,126,234473350.00,234484400.00,11050.00,11.050000,0.011050000,FF,FF
126,127,234484400.00,234495400.00,11000.00,11.000000,0.011000000,FF,01
127,128,234495400.00,234506450.00,11050.00,11.050000,0.011050000,01,04
128,129,234506450.00,234517450.00,11000.00,11.000000,0.011000000,04,02
129,130,234517450.00,234528450.00,11000.00,11.000000,0.011000000,02,38
130,131,234528450.00,234565550.00,37100.00,37.100000,0.037100000,38,11
131,132,234565550.00,234632650.00,67100.00,67.100000,0.067100000,11,AF
132,133,234632650.00,234691100.00,58450.00,58.450000,0.058450000,AF,FF
133,134,234691100.00,234703950.00,12850.00,12.850000,0.012850000,FF,FF
134,135,234703950.00,234716850.00,12900.00,12.900000,0.012900000,FF,01
135,136,234716850.00,234729700.00,12850.00,12.850000,0.012850000,01,13
136,137,234729700.00,234742550.00,12850.00,12.850000,0.012850000,13,00
137,138,234742550.00,234755400.00,12850.00,12.850000,0.012850000,00,1C
138,139,234755400.00,234768250.00,12850.00,12.850000,0.012850000,1C,0B
139,140,234768250.00,234781100.00,12850.00,12.850000,0.012850000,0B,00
140,141,234781100.00,234794000.00,12900.00,12.900000,0.012900000,00,00
141,142,234794000.00,234806850.00,12850.00,12.850000,0.012850000,00,87
142,143,234806850.00,234819700.00,12850.00,12.850000,0.012850000,87,04
143,144,234819700.00,234832550.00,12850.00,12.850000,0.012850000,04,2C
