pkt_idx,kind,start_ns,end_ns,duration_us,gap_from_prev_start_ns,gap_from_prev_start_ms,gap_from_prev_end_ns,gap_from_prev_end_ms,id,len,inst_or_err,checksum_ok,hex,note
0,req,35084150.00,35198400.00,114.250,,,,,01,04,02,1,FF FF 01 04 02 38 11 AF,
1,resp,35254950.00,35537850.00,282.900,170800.00,0.170800,56550.00,0.056550,01,13,00,1,FF FF 01 13 00 1C 0B 00 00 80 04 2C 00 00 00 00 22 0B 00 00 00 00 E7,
2,req,84627750.00,84759950.00,132.200,49372800.00,49.372800,49089900.00,49.089900,01,04,02,1,FF FF 01 04 02 38 11 AF,
3,resp,84819200.00,85102050.00,282.850,191450.00,0.191450,59250.00,0.059250,01,13,00,1,FF FF 01 13 00 1C 0B 00 00 81 04 2D 00 00 00 00 22 0B 00 00 00 00 E5,
4,req,134878900.00,135044200.00,165.300,50059700.00,50.059700,49776850.00,49.776850,01,04,02,1,FF FF 01 04 02 38 11 AF,
5,resp,135081750.00,135364600.00,282.850,202850.00,0.202850,37550.00,0.037550,01,13,00,1,FF FF 01 13 00 1C 0B 00 00 83 04 2C 00 00 00 00 22 0B 00 00 00 00 E4,
6,req,184629550.00,184862000.00,232.450,49547800.00,49.547800,49264950.00,49.264950,01,04,02,1,FF FF 01 04 02 38 11 AF,
7,resp,184919850.00,185202750.00,282.900,290300.00,0.290300,57850.00,0.057850,01,13,00,1,FF FF 01 13 00 1C 0B 00 00 85 04 2C 00 00 00 00 22 0B 00 00 00 00 E2,
8,req,234473350.00,234632650.00,159.300,49553500.00,49.553500,49270600.00,49.270600,01,04,02,1,FF FF 01 04 02 38 11 AF,
9,resp,234691100.00,234974000.00,282.900,217750.00,0.217750,58450.00,0.058450,01,13,00,1,FF FF 01 13 00 1C 0B 00 00 87 04 2C 00 00 00 00 22 0B 00 00 00 00 E0,
10,req,285334450.00,285472700.00,138.250,50643350.00,50.643350,50360450.00,50.360450,01,04,02,1,FF FF 01 04 02 38 11 AF,
11,resp,285529450.00,285813300.00,283.850,195000.00,0.195000,56750.00,0.056750,01,13,00,1,FF FF 01 13 00 1C 0B 00 00 88 04 2C 00 00 00 00 22 0B 00 00 00 00 DF,
12,req,335339350.00,335495600.00,156.250,49809900.00,49.809900,49526050.00,49.526050,01,04,02,1,FF FF 01 04 02 38 11 AF,
13,resp,335534200.00,335817100.00,282.900,194850.00,0.194850,38600.00,0.038600,01,13,00,1,FF FF 01 13 00 1C 0B 00 00 8A 04 2C 00 00 00 00 22 0B 00 00 00 00 DD,
14,req,385346800.00,385567150.00,220.350,49812600.00,49.812600,49529700.00,49.529700,01,04,02,1,FF FF 01 04 02 38 11 AF,
15,resp,385624000.00,385906900.00,282.900,277200.00,0.277200,56850.00,0.056850,01,13,00,1,FF FF 01 13 00 1C 0B 00 00 8C 04 2C 00 00 00 00 22 0B 00 00 00 00 DB,
16,req,435088700.00,435232900.00,144.200,49464700.00,49.464700,49181800.00,49.181800,01,04,02,1,FF FF 01 04 02 38 11 AF,
17,resp,435289600.00,435572600.00,283.000,200900.00,0.200900,56700.00,0.056700,01,13,00,1,FF FF 01 13 00 1C 0B 00 00 8E 04 2C 00 00 00 00 22 0B 00 00 00 00 D9,
18,req,484659400.00,484795550.00,136.150,49369800.00,49.369800,49086800.00,49.086800,01,04,02,1,FF FF 01 04 02 38 11 AF,
19,resp,484852300.00,485135200.00,282.900,192900.00,0.192900,56750.00,0.056750,01,13,00,1,FF FF 01 13 00 1C 0B 00 00 90 04 2C 00 00 00 00 22 0B 00 00 00 00 D7,
20,req,534706500.00,534873800.00,167.300,49854200.00,49.854200,49571300.00,49.571300,01,04,02,1,FF FF 01 04 02 38 11 AF,
21,resp,534909900.00,535194800.00,284.900,203400.00,0.203400,36100.00,0.036100,01,13,00,1,FF FF 01 13 00 1C 0B 00 00 92 04 2C 00 00 00 00 22 0B 00 00 00 00 D5,
