from_id,to_id,from_time_ns,to_time_ns,delta_ns,delta_us,delta_ms,from_byte,to_byte
1,2,6236850.00,6247900.00,11050.00,11.050000,0.011050000,FF,FF
2,3,6247900.00,6258900.00,11000.00,11.000000,0.011000000,FF,01
3,4,6258900.00,6269950.00,11050.00,11.050000,0.011050000,01,04
4,5,6269950.00,6280950.00,11000.00,11.000000,0.011000000,04,02
5,6,6280950.00,6292000.00,11050.00,11.050000,0.011050000,02,38
6,7,6292000.00,6306050.00,14050.00,14.050000,0.014050000,38,11
7,8,6306050.00,6368150.00,62100.00,62.100000,0.062100000,11,AF
8,9,6368150.00,6414850.00,46700.00,46.700000,0.046700000,AF,FF
9,10,6414850.00,6424850.00,10000.00,10.000000,0.010000000,FF,FF
10,11,6424850.00,6434850.00,10000.00,10.000000,0.010000000,FF,01
11,12,6434850.00,6444850.00,10000.00,10.000000,0.010000000,01,13
12,13,6444850.00,6454850.00,10000.00,10.000000,0.010000000,13,00
13,14,6454850.00,6464900.00,10050.00,10.050000,0.010050000,00,0F
14,15,6464900.00,6474900.00,10000.00,10.000000,0.010000000,0F,08
15,16,6474900.00,6484900.00,10000.00,10.000000,0.010000000,08,00
16,17,6484900.00,6494900.00,10000.00,10.000000,0.010000000,00,00
17,18,6494900.00,6504900.00,10000.00,10.000000,0.010000000,00,00
18,19,6504900.00,6514900.00,10000.00,10.000000,0.010000000,00,00
19,20,6514900.00,6524900.00,10000.00,10.000000,0.010000000,00,30
20,21,6524900.00,6534950.00,10050.00,10.050000,0.010050000,30,16
21,22,6534950.00,6544950.00,10000.00,10.000000,0.010000000,16,00
22,23,6544950.00,6554950.00,10000.00,10.000000,0.010000000,00,00
23,24,6554950.00,6564950.00,10000.00,10.000000,0.010000000,00,00
24,25,6564950.00,6574950.00,10000.00,10.000000,0.010000000,00,0F
25,26,6574950.00,6584950.00,10000.00,10.000000,0.010000000,0F,08
26,27,6584950.00,6594950.00,10000.00,10.000000,0.010000000,08,00
27,28,6594950.00,6605000.00,10050.00,10.050000,0.010050000,00,00
28,29,6605000.00,6615000.00,10000.00,10.000000,0.010000000,00,00
29,30,6615000.00,6625000.00,10000.00,10.000000,0.010000000,00,00
30,31,6625000.00,6635000.00,10000.00,10.000000,0.010000000,00,77
31,32,6635000.00,56779400.00,50144400.00,50144.400000,50.144400000,77,FF
32,33,56779400.00,56790400.00,11000.00,11.000000,0.011000000,FF,FF
33,34,56790400.00,56801400.00,11000.00,11.000000,0.011000000,FF,01
34,35,56801400.00,56812450.00,11050.00,11.050000,0.011050000,01,04
35,36,56812450.00,56823450.00,11000.00,11.000000,0.011000000,04,02
36,37,56823450.00,56834450.00,11000.00,11.000000,0.011000000,02,38
37,38,56834450.00,56993750.00,159300.00,159.300000,0.159300000,38,11
38,39,56993750.00,57048850.00,55100.00,55.100000,0.055100000,11,AF
39,40,57048850.00,57090900.00,42050.00,42.050000,0.042050000,AF,FF
40,41,57090900.00,57100900.00,10000.00,10.000000,0.010000000,FF,BF
41,42,57100900.00,57110900.00,10000.00,10.000000,0.010000000,BF,01
42,43,57110900.00,57120900.00,10000.00,10.000000,0.010000000,01,13
43,44,57120900.00,57130900.00,10000.00,10.000000,0.010000000,13,00
44,45,57130900.00,57140600.00,9700.00,9.700000,0.009700000,00,03
45,46,57140600.00,57150950.00,10350.00,10.350000,0.010350000,03,00
46,47,57150950.00,57170250.00,19300.00,19.300000,0.019300000,00,00
47,48,57170250.00,57207850.00,37600.00,37.600000,0.037600000,00,02
48,49,57207850.00,57220700.00,12850.00,12.850000,0.012850000,02,00
49,50,57220700.00,57231000.00,10300.00,10.300000,0.010300000,00,00
50,51,57231000.00,57256000.00,25000.00,25.000000,0.025000000,00,00
51,52,57256000.00,57266000.00,10000.00,10.000000,0.010000000,00,00
52,53,57266000.00,57290850.00,24850.00,24.850000,0.024850000,00,00
53,54,57290850.00,57301050.00,10200.00,10.200000,0.010200000,00,00
54,55,57301050.00,57314600.00,13550.00,13.550000,0.013550000,00,00
55,56,57314600.00,57327400.00,12800.00,12.800000,0.012800000,00,00
56,57,57327400.00,57340300.00,12900.00,12.900000,0.012900000,00,00
57,58,57340300.00,57353150.00,12850.00,12.850000,0.012850000,00,00
58,59,57353150.00,57366000.00,12850.00,12.850000,0.012850000,00,26
59,60,57366000.00,106477550.00,49111550.00,49111.550000,49.111550000,26,FF
60,61,106477550.00,106488600.00,11050.00,11.050000,0.011050000,FF,FF
61,62,106488600.00,106499600.00,11000.00,11.000000,0.011000000,FF,01
62,63,106499600.00,106510650.00,11050.00,11.050000,0.011050000,01,04
63,64,106510650.00,106521650.00,11000.00,11.000000,0.011000000,04,02
64,65,106521650.00,106532700.00,11050.00,11.050000,0.011050000,02,38
65,66,106532700.00,106560750.00,28050.00,28.050000,0.028050000,38,11
66,67,106560750.00,106622850.00,62100.00,62.100000,0.062100000,11,AF
67,68,106622850.00,106668300.00,45450.00,45.450000,0.045450000,AF,FF
68,69,106668300.00,106678300.00,10000.00,10.000000,0.010000000,FF,FF
69,70,106678300.00,106688300.00,10000.00,10.000000,0.010000000,FF,01
70,71,106688300.00,106698300.00,10000.00,10.000000,0.010000000,01,13
71,72,106698300.00,106708300.00,10000.00,10.000000,0.010000000,13,00
72,73,106708300.00,106718350.00,10050.00,10.050000,0.010050000,00,0F
73,74,106718350.00,106728350.00,10000.00,10.000000,0.010000000,0F,08
74,75,106728350.00,106738350.00,10000.00,10.000000,0.010000000,08,00
75,76,106738350.00,106748350.00,10000.00,10.000000,0.010000000,00,00
76,77,106748350.00,106758350.00,10000.00,10.000000,0.010000000,00,00
77,78,106758350.00,106768350.00,10000.00,10.000000,0.010000000,00,00
78,79,106768350.00,106778400.00,10050.00,10.050000,0.010050000,00,30
79,80,106778400.00,106788400.00,10000.00,10.000000,0.010000000,30,16
80,81,106788400.00,106798400.00,10000.00,10.000000,0.010000000,16,00
81,82,106798400.00,106808400.00,10000.00,10.000000,0.010000000,00,00
82,83,106808400.00,106818400.00,10000.00,10.000000,0.010000000,00,00
83,84,106818400.00,106828400.00,10000.00,10.000000,0.010000000,00,0F
84,85,106828400.00,106838450.00,10050.00,10.050000,0.010050000,0F,08
85,86,106838450.00,106848450.00,10000.00,10.000000,0.010000000,08,00
86,87,106848450.00,106858450.00,10000.00,10.000000,0.010000000,00,00
87,88,106858450.00,106868450.00,10000.00,10.000000,0.010000000,00,00
88,89,106868450.00,106878450.00,10000.00,10.000000,0.010000000,00,00
89,90,106878450.00,106888450.00,10000.00,10.000000,0.010000000,00,77
90,91,106888450.00,156052000.00,49163550.00,49163.550000,49.163550000,77,FF
91,92,156052000.00,156063000.00,11000.00,11.000000,0.011000000,FF,FF
92,93,156063000.00,156074050.00,11050.00,11.050000,0.011050000,FF,01
93,94,156074050.00,156086050.00,12000.00,12.000000,0.012000000,01,04
94,95,156086050.00,156097100.00,11050.00,11.050000,0.011050000,04,02
95,96,156097100.00,156108100.00,11000.00,11.000000,0.011000000,02,38
96,97,156108100.00,156206300.00,98200.00,98.200000,0.098200000,38,11
97,98,156206300.00,156273450.00,67150.00,67.150000,0.067150000,11,AF
98,99,156273450.00,156318800.00,45350.00,45.350000,0.045350000,AF,FF
99,100,156318800.00,156328800.00,10000.00,10.000000,0.010000000,FF,FF
100,101,156328800.00,156338800.00,10000.00,10.000000,0.010000000,FF,01
101,102,156338800.00,156348800.00,10000.00,10.000000,0.010000000,01,13
102,103,156348800.00,156358850.00,10050.00,10.050000,0.010050000,13,00
103,104,156358850.00,156370900.00,12050.00,12.050000,0.012050000,00,42
104,105,156370900.00,156388850.00,17950.00,17.950000,0.017950000,42,00
105,106,156388850.00,156398850.00,10000.00,10.000000,0.010000000,00,00
106,107,156398850.00,156434200.00,35350.00,35.350000,0.035350000,00,09
107,108,156434200.00,156444900.00,10700.00,10.700000,0.010700000,09,00
108,109,156444900.00,156468800.00,23900.00,23.900000,0.023900000,00,00
109,110,156468800.00,156478900.00,10100.00,10.100000,0.010100000,00,03
110,111,156478900.00,156518950.00,40050.00,40.050000,0.040050000,03,00
111,112,156518950.00,156546950.00,28000.00,28.000000,0.028000000,00,00
112,113,156546950.00,156559750.00,12800.00,12.800000,0.012800000,00,00
113,114,156559750.00,156572600.00,12850.00,12.850000,0.012850000,00,00
114,115,156572600.00,156585450.00,12850.00,12.850000,0.012850000,00,26
115,116,156585450.00,205965300.00,49379850.00,49379.850000,49.379850000,26,FF
116,117,205965300.00,205976300.00,11000.00,11.000000,0.011000000,FF,FF
117,118,205976300.00,205987350.00,11050.00,11.050000,0.011050000,FF,01
118,119,205987350.00,205998350.00,11000.00,11.000000,0.011000000,01,04
119,120,205998350.00,206009350.00,11000.00,11.000000,0.011000000,04,02
120,121,206009350.00,206020400.00,11050.00,11.050000,0.011050000,02,38
121,122,206020400.00,206080500.00,60100.00,60.100000,0.060100000,38,11
122,123,206080500.00,206137600.00,57100.00,57.100000,0.057100000,11,AF
123,124,206137600.00,206182550.00,44950.00,44.950000,0.044950000,AF,FF
124,125,206182550.00,206192550.00,10000.00,10.000000,0.010000000,FF,FF
125,126,206192550.00,206202600.00,10050.00,10.050000,0.010050000,FF,01
126,127,206202600.00,206212600.00,10000.00,10.000000,0.010000000,01,13
127,128,206212600.00,206222600.00,10000.00,10.000000,0.010000000,13,00
128,129,206222600.00,206232600.00,10000.00,10.000000,0.010000000,00,0F
129,130,206232600.00,206242600.00,10000.00,10.000000,0.010000000,0F,08
130,131,206242600.00,206252650.00,10050.00,10.050000,0.010050000,08,00
131,132,206252650.00,206262650.00,10000.00,10.000000,0.010000000,00,00
132,133,206262650.00,206272650.00,10000.00,10.000000,0.010000000,00,00
133,134,206272650.00,206282650.00,10000.00,10.000000,0.010000000,00,00
134,135,206282650.00,206292700.00,10050.00,10.050000,0.010050000,00,30
135,136,206292700.00,206302700.00,10000.00,10.000000,0.010000000,30,16
136,137,206302700.00,206312700.00,10000.00,10.000000,0.010000000,16,00
137,138,206312700.00,206322700.00,10000.00,10.000000,0.010000000,00,00
138,139,206322700.00,206332750.00,10050.00,10.050000,0.010050000,00,00
139,140,206332750.00,206342750.00,10000.00,10.000000,0.010000000,00,0F
140,141,206342750.00,206352750.00,10000.00,10.000000,0.010000000,0F,08
141,142,206352750.00,206362750.00,10000.00,10.000000,0.010000000,08,00
142,143,206362750.00,206372750.00,10000.00,10.000000,0.010000000,00,00
143,144,206372750.00,206382800.00,10050.00,10.050000,0.010050000,00,00
144,145,206382800.00,206392800.00,10000.00,10.000000,0.010000000,00,00
145,146,206392800.00,206402800.00,10000.00,10.000000,0.010000000,00,77
146,147,206402800.00,255921850.00,49519050.00,49519.050000,49.519050000,77,FF
147,148,255921850.00,255932850.00,11000.00,11.000000,0.011000000,FF,FF
148,149,255932850.00,255943900.00,11050.00,11.050000,0.011050000,FF,01
149,150,255943900.00,255954900.00,11000.00,11.000000,0.011000000,01,04
150,151,255954900.00,255965950.00,11050.00,11.050000,0.011050000,04,02
151,152,255965950.00,255976950.00,11000.00,11.000000,0.011000000,02,38
152,153,255976950.00,256054100.00,77150.00,77.150000,0.077150000,38,11
153,154,256054100.00,256109200.00,55100.00,55.100000,0.055100000,11,AF
154,155,256109200.00,256155950.00,46750.00,46.750000,0.046750000,AF,FF
155,156,256155950.00,256165950.00,10000.00,10.000000,0.010000000,FF,FD
156,157,256165950.00,256175950.00,10000.00,10.000000,0.010000000,FD,01
157,158,256175950.00,256185950.00,10000.00,10.000000,0.010000000,01,03
158,159,256185950.00,256205550.00,19600.00,19.600000,0.019600000,03,02
159,160,256205550.00,256236000.00,30450.00,30.450000,0.030450000,02,00
160,161,256236000.00,256246000.00,10000.00,10.000000,0.010000000,00,00
161,162,256246000.00,256273050.00,27050.00,27.050000,0.027050000,00,82
162,163,256273050.00,256305400.00,32350.00,32.350000,0.032350000,82,00
163,164,256305400.00,256316050.00,10650.00,10.650000,0.010650000,00,01
164,165,256316050.00,256356100.00,40050.00,40.050000,0.040050000,01,00
165,166,256356100.00,256366100.00,10000.00,10.000000,0.010000000,00,00
166,167,256366100.00,256384100.00,18000.00,18.000000,0.018000000,00,00
167,168,256384100.00,256396350.00,12250.00,12.250000,0.012250000,00,00
168,169,256396350.00,256409200.00,12850.00,12.850000,0.012850000,00,00
169,170,256409200.00,256422050.00,12850.00,12.850000,0.012850000,00,26
170,171,256422050.00,306167800.00,49745750.00,49745.750000,49.745750000,26,FF
171,172,306167800.00,306178800.00,11000.00,11.000000,0.011000000,FF,FF
172,173,306178800.00,306189850.00,11050.00,11.050000,0.011050000,FF,01
173,174,306189850.00,306200850.00,11000.00,11.000000,0.011000000,01,04
174,175,306200850.00,306211900.00,11050.00,11.050000,0.011050000,04,02
175,176,306211900.00,306222900.00,11000.00,11.000000,0.011000000,02,38
176,177,306222900.00,306261000.00,38100.00,38.100000,0.038100000,38,11
177,178,306261000.00,306353200.00,92200.00,92.200000,0.092200000,11,AF
178,179,306353200.00,306390600.00,37400.00,37.400000,0.037400000,AF,7F
179,180,306390600.00,306403450.00,12850.00,12.850000,0.012850000,7F,EF
180,181,306403450.00,306416300.00,12850.00,12.850000,0.012850000,EF,01
181,182,306416300.00,306428200.00,11900.00,11.900000,0.011900000,01,02
182,183,306428200.00,306438200.00,10000.00,10.000000,0.010000000,02,00
183,184,306438200.00,306451900.00,13700.00,13.700000,0.013700000,00,10
184,185,306451900.00,306463200.00,11300.00,11.300000,0.011300000,10,08
185,186,306463200.00,306497350.00,34150.00,34.150000,0.034150000,08,00
186,187,306497350.00,306508200.00,10850.00,10.850000,0.010850000,00,00
187,188,306508200.00,306518250.00,10050.00,10.050000,0.010050000,00,02
188,189,306518250.00,306528000.00,9750.00,9.750000,0.009750000,02,00
189,190,306528000.00,306560250.00,32250.00,32.250000,0.032250000,00,00
190,191,306560250.00,306577450.00,17200.00,17.200000,0.017200000,00,00
191,192,306577450.00,306588300.00,10850.00,10.850000,0.010850000,00,00
192,193,306588300.00,306598300.00,10000.00,10.000000,0.010000000,00,00
193,194,306598300.00,306622350.00,24050.00,24.050000,0.024050000,00,00
194,195,306622350.00,306634750.00,12400.00,12.400000,0.012400000,00,00
195,196,306634750.00,306647600.00,12850.00,12.850000,0.012850000,00,26
196,197,306647600.00,356136800.00,49489200.00,49489.200000,49.489200000,26,FF
197,198,356136800.00,356147800.00,11000.00,11.000000,0.011000000,FF,FF
198,199,356147800.00,356158850.00,11050.00,11.050000,0.011050000,FF,01
199,200,356158850.00,356169850.00,11000.00,11.000000,0.011000000,01,04
200,201,356169850.00,356180900.00,11050.00,11.050000,0.011050000,04,02
201,202,356180900.00,356191900.00,11000.00,11.000000,0.011000000,02,38
202,203,356191900.00,356218950.00,27050.00,27.050000,0.027050000,38,11
