pkt_idx,kind,start_ns,end_ns,duration_us,gap_from_prev_start_ns,gap_from_prev_start_ms,gap_from_prev_end_ns,gap_from_prev_end_ms,id,len,inst_or_err,checksum_ok,hex,note
0,req,6236850.00,6368150.00,131.300,,,,,01,04,02,1,FF FF 01 04 02 38 11 AF,
1,resp,6414850.00,6635000.00,220.150,178000.00,0.178000,46700.00,0.046700,01,13,00,1,FF FF 01 13 00 0F 08 00 00 00 00 30 16 00 00 00 0F 08 00 00 00 00 77,
2,req,56779400.00,57048850.00,269.450,50364550.00,50.364550,50144400.00,50.144400,01,04,02,1,FF FF 01 04 02 38 11 AF,
3,req,106477550.00,106622850.00,145.300,49698150.00,49.698150,49428700.00,49.428700,01,04,02,1,FF FF 01 04 02 38 11 AF,
4,resp,106668300.00,106888450.00,220.150,190750.00,0.190750,45450.00,0.045450,01,13,00,1,FF FF 01 13 00 0F 08 00 00 00 00 30 16 00 00 00 0F 08 00 00 00 00 77,
5,req,156052000.00,156273450.00,221.450,49383700.00,49.383700,49163550.00,49.163550,01,04,02,1,FF FF 01 04 02 38 11 AF,
6,resp,156318800.00,206020400.00,49701.600,266800.00,0.266800,45350.00,0.045350,01,13,00,0,FF FF 01 13 00 42 00 00 09 00 00 03 00 00 00 00 26 FF FF 01 04 02 38,CS mismatch expect=72
7,resp,206182550.00,206402800.00,220.250,49863750.00,49.863750,162150.00,0.162150,01,13,00,1,FF FF 01 13 00 0F 08 00 00 00 00 30 16 00 00 00 0F 08 00 00 00 00 77,
8,req,255921850.00,256109200.00,187.350,49739300.00,49.739300,49519050.00,49.519050,01,04,02,1,FF FF 01 04 02 38 11 AF,
9,req,306167800.00,306353200.00,185.400,50245950.00,50.245950,50058600.00,50.058600,01,04,02,1,FF FF 01 04 02 38 11 AF,
10,req,356136800.00,356290100.00,153.300,49969000.00,49.969000,49783600.00,49.783600,01,04,02,1,FF FF 01 04 02 38 11 AF,
11,req,406178150.00,406311450.00,133.300,50041350.00,50.041350,49888050.00,49.888050,01,04,02,1,FF FF 01 04 02 38 11 AF,
12,resp,406353850.00,406574000.00,220.150,175700.00,0.175700,42400.00,0.042400,01,13,00,1,FF FF 01 13 00 0F 08 00 00 00 00 30 16 00 00 00 0F 08 00 00 00 00 77,
13,req,455948700.00,456077900.00,129.200,49594850.00,49.594850,49374700.00,49.374700,01,04,02,1,FF FF 01 04 02 38 11 AF,
14,req,506341250.00,506473500.00,132.250,50392550.00,50.392550,50263350.00,50.263350,01,04,02,1,FF FF 01 04 02 38 11 AF,
15,resp,506519350.00,506739500.00,220.150,178100.00,0.178100,45850.00,0.045850,01,13,00,1,FF FF 01 13 00 0F 08 00 00 00 00 30 16 00 00 00 0F 08 00 00 00 00 77,
16,req,555961600.00,556108900.00,147.300,49442250.00,49.442250,49222100.00,49.222100,01,04,02,1,FF FF 01 04 02 38 11 AF,
17,req,606531500.00,606756900.00,225.400,50569900.00,50.569900,50422600.00,50.422600,01,04,02,1,FF FF 01 04 02 38 11 AF,
18,resp,606801550.00,607021650.00,220.100,270050.00,0.270050,44650.00,0.044650,01,13,00,1,FF FF 01 13 00 0F 08 00 00 00 00 30 16 00 00 00 0F 08 00 00 00 00 77,
19,req,656688850.00,656885200.00,196.350,49887300.00,49.887300,49667200.00,49.667200,01,04,02,1,FF FF 01 04 02 38 11 AF,
20,req,706594100.00,706750400.00,156.300,49905250.00,49.905250,49708900.00,49.708900,01,04,02,1,FF FF 01 04 02 38 11 AF,
21,resp,706796200.00,707016400.00,220.200,202100.00,0.202100,45800.00,0.045800,01,13,00,1,FF FF 01 13 00 0F 08 00 00 00 00 30 16 00 00 00 0F 08 00 00 00 00 77,
22,req,756674300.00,756881650.00,207.350,49878100.00,49.878100,49657900.00,49.657900,01,04,02,1,FF FF 01 04 02 38 11 AF,
23,req,806745400.00,806945800.00,200.400,50071100.00,50.071100,49863750.00,49.863750,01,04,02,1,FF FF 01 04 02 38 11 AF,
24,resp,806990750.00,807210850.00,220.100,245350.00,0.245350,44950.00,0.044950,01,13,00,1,FF FF 01 13 00 0F 08 00 00 00 00 30 16 00 00 00 0F 08 00 00 00 00 77,
25,req,856808250.00,856966500.00,158.250,49817500.00,49.817500,49597400.00,49.597400,01,04,02,1,FF FF 01 04 02 38 11 AF,
26,resp,857011300.00,857259250.00,247.950,203050.00,0.203050,44800.00,0.044800,01,13,00,0,FF FF 01 13 00 0F 08 00 00 00 00 30 16 00 00 00 0F 08 00 00 51 18 00,CS mismatch expect=0E
27,req,906024400.00,906158700.00,134.300,49013100.00,49.013100,48765150.00,48.765150,01,04,02,1,FF FF 01 04 02 38 11 AF,
28,resp,906200450.00,906420600.00,220.150,176050.00,0.176050,41750.00,0.041750,01,13,00,1,FF FF 01 13 00 0F 08 00 00 00 00 30 16 00 00 00 0F 08 00 00 00 00 77,
29,req,956496550.00,956632800.00,136.250,50296100.00,50.296100,50075950.00,50.075950,01,04,02,1,FF FF 01 04 02 38 11 AF,
