Id,Time[ns],0:UART: RX/TX
1,16750950.00,FF
2,16761900.00,FF
3,16772900.00,0D
4,16783850.00,04
5,16794800.00,02
6,16805750.00,38
7,16898450.00,11
8,17024950.00,A3
9,17071500.00,FF
10,17081450.00,FF
11,17091400.00,0D
12,17101400.00,13
13,17111350.00,00
14,17121300.00,CC
15,17131300.00,08
16,17141250.00,00
17,17151200.00,00
18,17161200.00,00
19,17171150.00,00
20,17181100.00,7A
21,17191100.00,19
22,17201050.00,00
23,17211000.00,00
24,17221000.00,00
25,17230950.00,CC
26,17240950.00,08
27,17250900.00,00
28,17260850.00,00
29,17270850.00,00
30,17280800.00,00
31,17290750.00,A4
32,67248100.00,FF
33,67259100.00,FF
34,67270050.00,0D
35,67281000.00,04
36,67292000.00,02
37,67302950.00,38
38,67481300.00,11
39,67530100.00,A3
40,67571650.00,FF
41,67581600.00,FF
42,67591600.00,0D
43,67601550.00,13
44,67611500.00,00
45,67621500.00,CC
46,67631450.00,08
47,67641400.00,00
48,67651400.00,00
49,67661350.00,00
50,67671350.00,00
51,67681300.00,7A
52,67691250.00,19
53,67701200.00,00
54,67711200.00,00
55,67721150.00,00
56,67731100.00,CC
57,67741100.00,08
58,67751050.00,00
59,67761050.00,00
60,67771000.00,00
61,67780950.00,00
62,67790950.00,A4
63,117545050.00,FF
64,117556050.00,FF
65,117567000.00,0D
66,117577950.00,04
67,117588950.00,02
68,117599900.00,38
69,117725500.00,11
70,117787300.00,A3
71,117830050.00,FF
72,117840050.00,FF
73,117850000.00,0D
74,117859950.00,13
75,117869950.00,00
76,117879900.00,CC
77,117889850.00,08
78,117899800.00,00
79,117909800.00,00
80,117919750.00,00
81,117929700.00,00
82,117939700.00,7A
83,117949650.00,19
84,117959600.00,00
85,117969600.00,00
86,117979550.00,00
87,117989500.00,CC
88,117999500.00,08
89,118009450.00,00
90,118019400.00,00
91,118029400.00,00
92,118039350.00,00
93,118049300.00,A4
94,167506650.00,FF
95,167517600.00,FF
96,167528550.00,0D
97,167539500.00,04
98,167550450.00,02
99,167561450.00,38
100,167632150.00,11
101,167694950.00,A3
102,167740700.00,FF
103,167750650.00,FF
104,167760600.00,0D
105,167770600.00,13
106,167780550.00,00
107,167790500.00,CC
108,167800500.00,08
109,167810450.00,00
110,167820400.00,00
111,167830350.00,00
112,167840350.00,00
113,167850300.00,7A
114,167860250.00,19
115,167870250.00,00
116,167880200.00,00
117,167890150.00,00
118,167900150.00,CC
119,167910100.00,08
120,167920050.00,00
121,167930050.00,00
122,167940000.00,00
123,167949950.00,00
124,167959900.00,A4
125,216759200.00,FF
126,216770150.00,FF
127,216781150.00,0D
128,216792100.00,04
129,216803050.00,02
130,216814000.00,38
131,216891750.00,11
132,216964550.00,A3
133,217010500.00,FF
134,217020450.00,FF
135,217030400.00,0D
136,217040400.00,13
137,217050350.00,00
138,217060300.00,CC
139,217070250.00,08
140,217080250.00,00
141,217090200.00,00
142,217100150.00,00
143,217110150.00,00
144,217120100.00,7A
145,217130050.00,19
146,217140000.00,00
147,217150000.00,00
148,217159950.00,00
149,217169900.00,CC
150,217179850.00,08
151,217189850.00,00
152,217199800.00,00
153,217209750.00,00
154,217219750.00,00
155,217229700.00,A4
156,266895950.00,FF
157,266906900.00,FF
158,266917900.00,0D
159,266928850.00,04
160,266939800.00,02
161,266950800.00,38
162,267008600.00,11
163,267082350.00,A3
164,267126650.00,FF
165,267136600.00,FF
166,267146550.00,0D
167,267156550.00,13
168,267166500.00,00
169,267176450.00,CC
170,267186450.00,08
171,267196400.00,00
172,267206350.00,00
173,267216350.00,00
174,267226300.00,00
175,267236300.00,7A
176,267246250.00,19
177,267256200.00,00
178,267266200.00,00
179,267276150.00,00
180,267286100.00,CC
181,267296100.00,08
182,267306050.00,00
183,267316000.00,00
184,267326000.00,00
185,267335950.00,00
186,267345900.00,A4
187,316837700.00,FF
188,316848650.00,FF
189,316859650.00,0D
190,316870600.00,04
191,316881550.00,02
192,316892550.00,38
193,316916450.00,11
194,317021100.00,A3
195,317066550.00,FF
196,317076500.00,FF
197,317086450.00,0D
198,317096450.00,13
199,317106400.00,00
200,317116350.00,CC
201,317126350.00,08
202,317136300.00,00
203,317146250.00,00
204,317156250.00,00
205,317166200.00,00
206,317176150.00,7A
207,317186150.00,19
208,317196100.00,00
209,317206050.00,00
210,317216050.00,00
211,317226000.00,CC
212,317235950.00,08
213,317245950.00,00
214,317255900.00,00
215,317265850.00,00
216,317275850.00,00
217,317285800.00,A4
218,367030800.00,FF
219,367041800.00,FF
220,367052750.00,0D
221,367063700.00,04
222,367074650.00,02
223,367085600.00,38
224,367163350.00,11
225,367228150.00,A3
226,367273550.00,FF
