Id,Time[ns],0:UART: RX/TX
1,7083600.00,FF
2,7094550.00,FF
3,7105500.00,03
4,7116450.00,04
5,7127450.00,02
6,7138400.00,38
7,7240000.00,11
8,7305750.00,AD
9,7352350.00,FF
10,7362300.00,FF
11,7372250.00,03
12,7382200.00,13
13,7392200.00,00
14,7402150.00,6F
15,7412100.00,07
16,7422050.00,00
17,7432000.00,00
18,7441950.00,00
19,7451900.00,00
20,7461900.00,7A
21,7471850.00,00
22,7481800.00,00
23,7491750.00,00
24,7501700.00,00
25,7511650.00,6F
26,7521600.00,07
27,7531550.00,9B
28,7541500.00,03
29,7551450.00,00
30,7561450.00,00
31,7571400.00,E5
32,56687400.00,FF
33,56698350.00,FF
34,56709300.00,03
35,56720300.00,04
36,56731250.00,02
37,56742200.00,38
38,56994400.00,11
39,57075150.00,AD
40,57120750.00,FF
41,57130700.00,FF
42,57140650.00,03
43,57150600.00,13
44,57160550.00,00
45,57170500.00,6F
46,57180450.00,07
47,57190400.00,00
48,57200400.00,00
49,57210350.00,00
50,57220300.00,00
51,57230250.00,7A
52,57240200.00,00
53,57250150.00,00
54,57260100.00,00
55,57270050.00,00
56,57280000.00,6F
57,57290000.00,07
58,57299950.00,9C
59,57309900.00,03
60,57319850.00,00
61,57329800.00,00
62,57339750.00,E4
63,107098500.00,FF
64,107109450.00,FF
65,107120400.00,03
66,107131350.00,04
67,107142350.00,02
68,107153300.00,38
69,107271900.00,11
70,107369600.00,AD
71,107415550.00,FF
72,107425500.00,FF
73,107435450.00,03
74,107445400.00,13
75,107455350.00,00
76,107465350.00,6F
77,107475300.00,07
78,107485250.00,00
79,107495200.00,00
80,107505150.00,00
81,107515100.00,00
82,107525050.00,7A
83,107535050.00,00
84,107545000.00,00
85,107554950.00,00
86,107564900.00,00
87,107574850.00,6F
88,107584800.00,07
89,107594750.00,9B
90,107604750.00,03
91,107614700.00,00
92,107624650.00,00
93,107634600.00,E5
94,156621650.00,FF
95,156632600.00,FF
96,156643600.00,03
97,156654550.00,04
98,156665500.00,02
