Id,Time[ns],0:UART: RX/TX
1,23552000.00,00
2,23655300.00,02
3,41097450.00,FF
4,41108450.00,FF
5,41119500.00,01
6,41130500.00,04
7,41141500.00,02
8,41152550.00,38
9,41181600.00,11
10,41253700.00,AF
11,41290450.00,FF
12,41303300.00,FF
13,41316150.00,01
14,41329000.00,13
15,41341850.00,00
16,41354700.00,22
17,41367550.00,0B
18,41380450.00,00
19,41393300.00,80
20,41406150.00,0D
21,41419000.00,04
22,41431850.00,2E
23,41444700.00,00
24,41457550.00,00
25,41470400.00,00
26,41483300.00,00
27,41496150.00,22
28,41509000.00,0B
29,41521850.00,00
30,41534700.00,00
31,41547550.00,00
32,41560400.00,00
33,41573250.00,D2
34,90882150.00,FF
35,90893150.00,FF
36,90904200.00,01
37,90915200.00,04
38,90926200.00,02
39,90937250.00,38
40,90954250.00,11
41,91100500.00,AF
42,91166450.00,FF
43,91179300.00,FF
44,91192200.00,01
45,91205050.00,13
46,91217900.00,00
47,91230750.00,22
48,91243600.00,0B
49,91256450.00,00
50,91269300.00,00
51,91282150.00,0D
52,91295000.00,04
53,91307850.00,2E
54,91320750.00,00
55,91333600.00,00
56,91346450.00,00
57,91359300.00,00
58,91372150.00,22
59,91385000.00,0B
60,91397850.00,00
61,91410750.00,00
62,91423600.00,00
63,91436450.00,00
64,91449300.00,52
65,141852250.00,FF
66,141863300.00,FF
67,141874300.00,01
68,141885300.00,04
69,141896350.00,02
70,141907350.00,38
71,142075700.00,11
72,142139800.00,AF
73,142196200.00,FF
74,142209050.00,FF
75,142221900.00,01
76,142234750.00,13
77,142247600.00,00
78,142260450.00,22
79,142273300.00,0B
80,142286200.00,00
81,142299050.00,00
82,142311900.00,0D
83,142325750.00,04
84,142338600.00,2E
85,142351450.00,00
86,142364300.00,00
87,142377150.00,00
88,142390000.00,00
89,142402850.00,22
90,142415700.00,0B
91,142428600.00,00
92,142441450.00,00
93,142454300.00,00
94,142467150.00,00
95,142480000.00,52
96,191204450.00,FF
97,191215500.00,FF
98,191226500.00,01
99,191237500.00,04
100,191248550.00,02
101,191259550.00,38
102,191458900.00,11
103,191546100.00,AF
104,191604650.00,FF
105,191617500.00,FF
106,191630400.00,01
107,191643250.00,13
108,191656100.00,00
109,191668950.00,22
110,191681800.00,0B
111,191694650.00,00
112,191707500.00,00
113,191720350.00,0D
114,191733250.00,04
115,191746100.00,2E
116,191758950.00,00
117,191771800.00,00
118,191784650.00,00
119,191797500.00,00
120,191810350.00,22
121,191823200.00,0B
122,191836050.00,00
123,191848950.00,00
124,191861800.00,00
125,191874650.00,00
126,191887500.00,52
127,240988450.00,FF
128,240999450.00,FF
129,241010500.00,01
130,241021500.00,04
131,241032500.00,02
132,241043550.00,38
133,241085600.00,11
134,241172750.00,AF
135,241210450.00,FF
136,241223300.00,FF
137,241236150.00,01
138,241249000.00,13
139,241261850.00,00
140,241274700.00,22
141,241287550.00,0B
142,241300450.00,00
143,241313300.00,80
144,241326150.00,0D
145,241339000.00,04
146,241351850.00,2E
147,241364700.00,00
148,241377550.00,00
149,241390450.00,00
150,241403300.00,00
151,241416150.00,22
152,241429000.00,0B
153,241441850.00,00
154,241454700.00,00
155,241467550.00,00
156,241480400.00,00
157,241493250.00,D2
158,291464850.00,FF
159,291475850.00,FF
160,291486900.00,01
161,291497900.00,04
162,291508950.00,02
163,291520950.00,38
164,291532950.00,11
165,291591050.00,AF
166,291649000.00,FF
167,291661850.00,FF
168,291674700.00,01
169,291687550.00,13
170,291700400.00,00
171,291713300.00,22
172,291726150.00,0B
173,291739000.00,00
174,291751850.00,80
175,291764700.00,0D
176,291777550.00,04
177,291790400.00,2E
178,291803250.00,00
179,291816150.00,00
180,291829000.00,00
181,291841850.00,00
182,291854700.00,22
183,291867550.00,0B
184,291880400.00,00
185,291893250.00,00
186,291906150.00,00
187,291919000.00,00
188,291931850.00,D2
189,341623400.00,FF
190,341634450.00,FF
191,341645450.00,01
192,341656500.00,04
193,341667500.00,02
194,341678500.00,38
195,341708600.00,11
196,341797750.00,AF
197,341856200.00,FF
198,341869050.00,FF
199,341881900.00,01
200,341894800.00,13
201,341907650.00,00
202,341920500.00,22
203,341933350.00,0B
204,341946200.00,00
205,341959050.00,00
206,341971950.00,0D
207,341984800.00,04
208,341997650.00,2E
209,342010500.00,00
210,342023350.00,00
211,342036200.00,00
212,342049100.00,00
213,342061950.00,22
214,342074800.00,0B
215,342087650.00,00
216,342100500.00,00
217,342113350.00,00
218,342126250.00,00
219,342139100.00,52
220,391083300.00,FF
221,391094300.00,FF
222,391105300.00,01
223,391116300.00,04
224,391127350.00,02
225,391138350.00,38
226,391205450.00,11
227,391378750.00,AF
228,391436750.00,FF
229,391449600.00,FF
230,391462450.00,01
231,391475300.00,13
232,391488200.00,00
233,391501050.00,22
234,391513900.00,0B
235,391526750.00,01
236,391539600.00,80
237,391552450.00,0D
238,391565300.00,04
239,391578150.00,2E
240,391591050.00,00
241,391603900.00,00
242,391616750.00,00
243,391629600.00,00
244,391642450.00,22
245,391655300.00,0B
246,391668200.00,00
247,391681050.00,00
248,391693900.00,00
249,391706750.00,00
250,391719600.00,D1
251,441464550.00,FF
252,441475600.00,FF
253,441486600.00,01
254,441497650.00,04
255,441508650.00,02
256,441519700.00,38
257,441537700.00,11
258,441613800.00,AF
259,441652350.00,FF
260,441665250.00,FF
261,441678100.00,01
262,441690950.00,13
263,441703800.00,00
264,441716650.00,22
265,441729500.00,0B
266,441742350.00,00
267,441755200.00,80
268,441768100.00,0D
269,441780950.00,04
270,441793800.00,2E
271,441806650.00,00
272,441819500.00,00
273,441832350.00,00
274,441845200.00,00
275,441858050.00,22
276,441870900.00,0B
277,441883800.00,00
278,441896650.00,00
279,441909500.00,00
280,441922350.00,00
281,441935200.00,D2
282,490760450.00,FF
283,490771450.00,FF
284,490782500.00,FD
285,490793500.00,04
286,490804550.00,02
287,490815550.00,00
288,490832600.00,09
289,490889750.00,F3
290,530272050.00,FF
291,530283100.00,FF
292,530294100.00,00
293,530305100.00,04
294,530316150.00,02
295,530329150.00,00
296,530341200.00,09
297,530462400.00,F0
298,559220250.00,00
299,559231300.00,03
300,559242300.00,00
301,559253350.00,00
302,559264350.00,00
303,559275350.00,04
304,559286400.00,45
305,559297400.00,D8
306,591310650.00,FF
307,591321650.00,FF
308,591332700.00,01
309,591343700.00,04
310,591354750.00,02
311,591365750.00,00
312,591386800.00,09
313,591468950.00,EF
314,591524250.00,FF
315,591537100.00,FF
316,591549950.00,01
317,591562800.00,0B
318,591575650.00,00
319,591588500.00,03
320,591601350.00,0A
321,591614200.00,00
322,591627050.00,09
323,591639900.00,03
324,591652750.00,01
325,591665600.00,00
326,591678500.00,00
327,591691350.00,01
328,591704200.00,D8
329,596031600.00,FF
330,596042600.00,FF
331,596053650.00,02
332,596064650.00,04
333,596075650.00,02
334,596086700.00,00
335,596106750.00,09
336,596164800.00,EE
337,636936600.00,02
338,636947650.00,03
339,636958650.00,00
340,636969700.00,00
341,636980700.00,00
342,636991700.00,04
343,637002750.00,44
344,637013750.00,3A
345,669983050.00,FF
346,669994100.00,FF
347,670005100.00,03
348,670016100.00,04
349,670027100.00,02
350,670040150.00,00
351,670052150.00,09
352,670108250.00,ED
