Id,Time[ns],0:UART: RX/TX
1,36465600.00,FF
2,36476550.00,FF
3,36487500.00,07
4,36498450.00,04
5,36509450.00,02
6,36520400.00,38
7,36578200.00,11
8,36688850.00,A9
9,36737150.00,FF
10,36747100.00,FF
11,36757000.00,07
12,36766950.00,13
13,36776850.00,00
14,36786800.00,A5
15,36796750.00,08
16,36806650.00,00
17,36816600.00,00
18,36826500.00,00
19,36836450.00,00
20,36846400.00,7A
21,36856300.00,1F
22,36866250.00,00
23,36876150.00,00
24,36886100.00,00
25,36896050.00,A5
26,36905950.00,08
27,36915900.00,00
28,36925800.00,00
29,36935750.00,00
30,36945700.00,00
31,36955600.00,F2
32,86219500.00,FF
33,86230450.00,FF
34,86241400.00,07
35,86252350.00,04
36,86263350.00,02
37,86274300.00,38
38,86365000.00,11
39,86484650.00,A9
40,86529050.00,FF
41,86539000.00,FF
42,86548900.00,07
43,86558850.00,13
44,86568750.00,00
45,86578700.00,A5
46,86588650.00,08
47,86598550.00,00
48,86608500.00,00
49,86618400.00,00
50,86628350.00,00
51,86638300.00,7A
52,86648200.00,1F
53,86658150.00,00
54,86668050.00,00
55,86678000.00,00
56,86687950.00,A5
57,86697900.00,08
58,86707800.00,00
59,86717750.00,00
60,86727650.00,00
61,86737600.00,00
62,86747550.00,F2
63,136243150.00,FF
64,136254150.00,FF
65,136265100.00,07
66,136276050.00,04
67,136287000.00,02
68,136298000.00,38
69,136373700.00,11
70,136494350.00,A9
71,136536000.00,FF
72,136545950.00,FF
73,136555900.00,07
74,136565800.00,13
75,136575750.00,00
76,136585650.00,A5
77,136595600.00,08
78,136605550.00,00
79,136615450.00,00
80,136625400.00,00
81,136635350.00,00
82,136645250.00,7A
83,136655200.00,1F
84,136665150.00,00
85,136675050.00,00
86,136685000.00,00
87,136694950.00,A5
88,136704850.00,08
89,136714800.00,00
90,136724750.00,00
91,136734650.00,00
92,136744600.00,00
93,136754550.00,F2
94,186186800.00,FF
95,186197750.00,FF
96,186208750.00,07
97,186219700.00,04
98,186230650.00,02
99,186241600.00,38
100,186312400.00,11
101,186468850.00,A9
102,186513300.00,FF
103,186523250.00,FF
104,186533200.00,07
105,186543100.00,13
106,186553050.00,00
107,186562950.00,A5
108,186572900.00,08
109,186582800.00,00
110,186592750.00,00
111,186602700.00,00
112,186612600.00,00
113,186622550.00,7A
114,186632450.00,1F
115,186642400.00,00
116,186652350.00,00
117,186662250.00,00
118,186672200.00,A5
119,186682150.00,08
120,186692050.00,00
121,186702000.00,00
122,186711950.00,00
123,186721850.00,00
124,186731800.00,F2
125,236198450.00,FF
126,236209450.00,FF
127,236220400.00,07
128,236231350.00,04
129,236242300.00,02
130,236253250.00,38
131,236381800.00,11
132,236549200.00,A9
133,236592400.00,FF
134,236602300.00,FF
135,236612250.00,07
136,236622150.00,13
137,236632100.00,00
138,236642050.00,A5
139,236651950.00,08
140,236661900.00,00
141,236671850.00,00
142,236681750.00,00
143,236691700.00,00
144,236701600.00,7A
145,236711550.00,1F
146,236721500.00,00
147,236731400.00,00
148,236741350.00,00
149,236751300.00,A5
150,236761200.00,08
151,236771150.00,00
152,236781100.00,00
153,236791000.00,00
154,236800950.00,00
155,236810850.00,F2
156,286503400.00,FF
157,286514350.00,FF
158,286525300.00,07
159,286536250.00,04
160,286547200.00,02
161,286558150.00,38
162,286628900.00,11
163,286734550.00,A9
164,286778100.00,FF
165,286788050.00,FF
166,286797950.00,07
167,286807900.00,13
168,286817800.00,00
169,286827750.00,A5
170,286837650.00,08
171,286847600.00,00
172,286857500.00,00
173,286867450.00,00
174,286877400.00,00
175,286887300.00,7A
176,286897250.00,1F
177,286907150.00,00
178,286917100.00,00
179,286927050.00,00
180,286936950.00,A5
181,286946900.00,08
182,286956800.00,00
183,286966750.00,00
184,286976700.00,00
185,286986600.00,00
186,286996550.00,F2
187,335709050.00,FF
188,335720000.00,FF
189,335730950.00,07
190,335741900.00,04
191,335752900.00,02
192,335763850.00,38
193,335856500.00,11
194,335965150.00,A9
195,336006700.00,FF
196,336016600.00,FF
197,336026550.00,07
198,336036450.00,13
199,336046400.00,00
200,336056300.00,A5
201,336066250.00,08
202,336076150.00,00
203,336086100.00,00
204,336096050.00,00
205,336105950.00,00
206,336115900.00,7A
207,336125800.00,1F
208,336135750.00,00
209,336145700.00,00
210,336155600.00,00
211,336165550.00,A5
212,336175500.00,08
213,336185400.00,00
214,336195350.00,00
215,336205250.00,00
216,336215200.00,00
217,336225100.00,F2
218,344678400.00,00
219,385931000.00,FF
220,385942000.00,FF
221,385952950.00,07
222,385963900.00,04
223,385974900.00,02
224,385985850.00,38
225,386110450.00,11
226,386235000.00,A9
227,386277100.00,FF
228,386287050.00,FF
229,386296950.00,07
230,386306900.00,13
231,386316800.00,00
232,386326750.00,A5
233,386336700.00,08
234,386346600.00,00
235,386356550.00,00
236,386366450.00,00
237,386376400.00,00
238,386386350.00,7A
239,386396250.00,1F
240,386406200.00,00
241,386416150.00,00
242,386426050.00,00
243,386436000.00,A5
244,386445950.00,08
245,386455850.00,00
246,386465800.00,00
247,386475700.00,00
248,386485650.00,00
249,386495600.00,F2
250,436132650.00,FF
251,436143600.00,FF
252,436154600.00,07
253,436165550.00,04
254,436176500.00,02
255,436187500.00,38
256,436238300.00,11
257,436345000.00,A9
258,436389150.00,FF
259,436399100.00,FF
260,436409050.00,07
261,436418950.00,13
262,436428900.00,00
263,436438800.00,A5
264,436448750.00,08
265,436458650.00,00
266,436468600.00,00
267,436478550.00,00
268,436488450.00,00
269,436498400.00,7A
270,436508350.00,1F
271,436518250.00,00
272,436528200.00,00
273,436538100.00,00
274,436548050.00,A5
275,436558000.00,08
276,436567900.00,00
277,436577850.00,00
278,436587800.00,00
279,436597700.00,00
280,436607650.00,F2
281,486133350.00,FF
282,486144300.00,FF
283,486155250.00,07
284,486166200.00,04
285,486177150.00,02
286,486188100.00,38
287,486229950.00,11
288,486336550.00,A9
289,486379500.00,FF
290,486389450.00,FF
291,486399400.00,07
292,486409300.00,13
293,486419250.00,00
294,486429200.00,A5
295,486439100.00,08
296,486449050.00,00
297,486459000.00,00
298,486468900.00,00
299,486478850.00,00
300,486488800.00,7A
301,486498700.00,1F
302,486508650.00,00
303,486518600.00,00
304,486528500.00,00
305,486538450.00,A5
306,486548400.00,08
307,486558300.00,00
308,486568250.00,00
309,486578200.00,00
310,486588100.00,00
311,486598050.00,F2
312,536121300.00,FF
313,536132300.00,FF
314,536143250.00,07
315,536154200.00,04
316,536165150.00,02
317,536176100.00,38
318,536280700.00,11
319,536382300.00,A9
320,536426050.00,FF
321,536436000.00,FF
322,536445950.00,07
323,536455850.00,13
324,536465800.00,00
325,536475750.00,A5
326,536485650.00,08
327,536495600.00,00
328,536505550.00,00
329,536515450.00,00
330,536525400.00,00
331,536535350.00,76
332,536545250.00,1F
333,536555200.00,00
334,536565150.00,00
335,536575100.00,00
336,536585000.00,A5
337,536594950.00,08
338,536604900.00,00
339,536614800.00,00
340,536624750.00,00
341,536634700.00,00
342,536644600.00,F6
343,586116300.00,FF
344,586127250.00,FF
345,586138200.00,07
346,586149200.00,04
347,586160150.00,02
348,586171100.00,38
349,586289700.00,11
350,586473000.00,A9
351,586517950.00,FF
352,586527900.00,FF
353,586537800.00,07
354,586547750.00,13
355,586557650.00,00
356,586567600.00,A5
357,586577550.00,08
358,586587500.00,00
359,586597400.00,00
360,586607350.00,00
361,586617300.00,00
362,586627200.00,7A
363,586637150.00,1F
364,586647100.00,00
365,586657000.00,00
