Id,Time[ns],0:UART: RX/TX
1,6236850.00,FF
2,6247900.00,FF
3,6258900.00,01
4,6269950.00,04
5,6280950.00,02
6,6292000.00,38
7,6306050.00,11
8,6368150.00,AF
9,6414850.00,FF
10,6424850.00,FF
11,6434850.00,01
12,6444850.00,13
13,6454850.00,00
14,6464900.00,0F
15,6474900.00,08
16,6484900.00,00
17,6494900.00,00
18,6504900.00,00
19,6514900.00,00
20,6524900.00,30
21,6534950.00,16
22,6544950.00,00
23,6554950.00,00
24,6564950.00,00
25,6574950.00,0F
26,6584950.00,08
27,6594950.00,00
28,6605000.00,00
29,6615000.00,00
30,6625000.00,00
31,6635000.00,77
32,56779400.00,FF
33,56790400.00,FF
34,56801400.00,01
35,56812450.00,04
36,56823450.00,02
37,56834450.00,38
38,56993750.00,11
39,57048850.00,AF
40,57090900.00,FF
41,57100900.00,BF
42,57110900.00,01
43,57120900.00,13
44,57130900.00,00
45,57140600.00,03
46,57150950.00,00
47,57170250.00,00
48,57207850.00,02
49,57220700.00,00
50,57231000.00,00
51,57256000.00,00
52,57266000.00,00
53,57290850.00,00
54,57301050.00,00
55,57314600.00,00
56,57327400.00,00
57,57340300.00,00
58,57353150.00,00
59,57366000.00,26
60,106477550.00,FF
61,106488600.00,FF
62,106499600.00,01
63,106510650.00,04
64,106521650.00,02
65,106532700.00,38
66,106560750.00,11
67,106622850.00,AF
68,106668300.00,FF
69,106678300.00,FF
70,106688300.00,01
71,106698300.00,13
72,106708300.00,00
73,106718350.00,0F
74,106728350.00,08
75,106738350.00,00
76,106748350.00,00
77,106758350.00,00
78,106768350.00,00
79,106778400.00,30
80,106788400.00,16
81,106798400.00,00
82,106808400.00,00
83,106818400.00,00
84,106828400.00,0F
85,106838450.00,08
86,106848450.00,00
87,106858450.00,00
88,106868450.00,00
89,106878450.00,00
90,106888450.00,77
91,156052000.00,FF
92,156063000.00,FF
93,156074050.00,01
94,156086050.00,04
95,156097100.00,02
96,156108100.00,38
97,156206300.00,11
98,156273450.00,AF
99,156318800.00,FF
100,156328800.00,FF
101,156338800.00,01
102,156348800.00,13
103,156358850.00,00
104,156370900.00,42
105,156388850.00,00
106,156398850.00,00
107,156434200.00,09
108,156444900.00,00
109,156468800.00,00
110,156478900.00,03
111,156518950.00,00
112,156546950.00,00
113,156559750.00,00
114,156572600.00,00
115,156585450.00,26
116,205965300.00,FF
117,205976300.00,FF
118,205987350.00,01
119,205998350.00,04
120,206009350.00,02
121,206020400.00,38
122,206080500.00,11
123,206137600.00,AF
124,206182550.00,FF
125,206192550.00,FF
126,206202600.00,01
127,206212600.00,13
128,206222600.00,00
129,206232600.00,0F
130,206242600.00,08
131,206252650.00,00
132,206262650.00,00
133,206272650.00,00
134,206282650.00,00
135,206292700.00,30
136,206302700.00,16
137,206312700.00,00
138,206322700.00,00
139,206332750.00,00
140,206342750.00,0F
141,206352750.00,08
142,206362750.00,00
143,206372750.00,00
144,206382800.00,00
145,206392800.00,00
146,206402800.00,77
147,255921850.00,FF
148,255932850.00,FF
149,255943900.00,01
150,255954900.00,04
151,255965950.00,02
152,255976950.00,38
153,256054100.00,11
154,256109200.00,AF
155,256155950.00,FF
156,256165950.00,FD
157,256175950.00,01
158,256185950.00,03
159,256205550.00,02
160,256236000.00,00
161,256246000.00,00
162,256273050.00,82
163,256305400.00,00
164,256316050.00,01
165,256356100.00,00
166,256366100.00,00
167,256384100.00,00
168,256396350.00,00
169,256409200.00,00
170,256422050.00,26
171,306167800.00,FF
172,306178800.00,FF
173,306189850.00,01
174,306200850.00,04
175,306211900.00,02
176,306222900.00,38
177,306261000.00,11
178,306353200.00,AF
179,306390600.00,7F
180,306403450.00,EF
181,306416300.00,01
182,306428200.00,02
183,306438200.00,00
184,306451900.00,10
185,306463200.00,08
186,306497350.00,00
187,306508200.00,00
188,306518250.00,02
189,306528000.00,00
190,306560250.00,00
191,306577450.00,00
192,306588300.00,00
193,306598300.00,00
194,306622350.00,00
195,306634750.00,00
196,306647600.00,26
197,356136800.00,FF
198,356147800.00,FF
199,356158850.00,01
200,356169850.00,04
201,356180900.00,02
202,356191900.00,38
203,356218950.00,11
204,356290100.00,AF
205,356336550.00,FF
206,356346550.00,F7
207,356356550.00,01
