Id,Time[ns],0:UART: RX/TX
1,10252000.00,FF
2,10262950.00,FF
3,10273950.00,02
4,10284900.00,04
5,10295850.00,02
6,10306800.00,38
7,10458200.00,11
8,10515950.00,AE
9,10542050.00,FF
10,10551950.00,FF
11,10561800.00,02
12,10571700.00,13
13,10581600.00,00
14,10591450.00,02
15,10601350.00,00
16,10611250.00,00
17,10621100.00,80
18,10631000.00,01
19,10640900.00,04
20,10650750.00,78
21,10660650.00,00
22,10670550.00,00
23,10680400.00,00
24,10690300.00,00
25,10700200.00,01
26,10710050.00,00
27,10719950.00,00
28,10729850.00,00
29,10739700.00,00
30,10749600.00,00
31,10759450.00,EA
32,59627000.00,FF
33,59638000.00,FF
34,59648950.00,02
35,59659900.00,04
36,59670850.00,02
37,59681800.00,38
38,59822200.00,11
39,59881950.00,AE
40,59909400.00,FF
41,59919300.00,FF
42,59929200.00,02
43,59939050.00,13
44,59948950.00,00
45,59958850.00,02
46,59968700.00,00
47,59978600.00,00
48,59988500.00,80
49,59998350.00,00
50,60008250.00,04
51,60018150.00,78
52,60028000.00,00
53,60037900.00,00
54,60047800.00,00
55,60057650.00,00
56,60067550.00,01
57,60077450.00,00
58,60087350.00,00
59,60097200.00,00
60,60107100.00,00
61,60117000.00,00
62,60126850.00,EB
63,109625050.00,FF
64,109636050.00,FF
65,109647000.00,02
66,109657950.00,04
67,109668900.00,02
68,109679850.00,38
69,109833300.00,11
70,109893050.00,AE
71,109918600.00,FF
72,109928500.00,FF
73,109938400.00,02
74,109948300.00,13
75,109958150.00,00
76,109968050.00,02
77,109977950.00,00
78,109987800.00,00
79,109997700.00,80
80,110007600.00,00
81,110017500.00,04
82,110027350.00,78
83,110037250.00,00
84,110047150.00,00
85,110057050.00,00
86,110066900.00,00
87,110076800.00,01
88,110086700.00,00
89,110096550.00,00
90,110106450.00,00
91,110116350.00,00
92,110126250.00,00
93,110136100.00,EB
94,159576000.00,FF
95,159586950.00,FF
96,159597900.00,02
97,159608900.00,04
98,159619850.00,02
99,159630800.00,38
100,159642750.00,11
101,159696550.00,AE
102,159723050.00,FF
103,159732950.00,FF
104,159742800.00,02
105,159752700.00,13
106,159762600.00,00
107,159772450.00,02
108,159782350.00,00
109,159792250.00,00
110,159802150.00,80
111,159812000.00,00
112,159821900.00,04
113,159831800.00,78
114,159841650.00,00
115,159851550.00,00
116,159861450.00,00
117,159871350.00,00
118,159881200.00,01
119,159891100.00,00
120,159901000.00,00
121,159910900.00,00
122,159920750.00,00
123,159930650.00,00
124,159940550.00,EB
125,210489550.00,FF
126,210500500.00,FF
127,210511500.00,02
128,210522450.00,04
129,210533400.00,02
130,210544400.00,38
131,210716800.00,11
132,210779550.00,AE
133,210805550.00,FF
134,210815400.00,FF
135,210825300.00,02
136,210835200.00,13
137,210845050.00,00
138,210854950.00,02
139,210864850.00,00
140,210874750.00,00
141,210884600.00,80
142,210894500.00,00
143,210904400.00,00
144,210914300.00,78
145,210924150.00,00
146,210934050.00,00
147,210943950.00,00
148,210953850.00,00
149,210963700.00,01
150,210973600.00,00
151,210983500.00,00
152,210993350.00,00
153,211003250.00,00
154,211013150.00,00
155,211023050.00,EF
156,260297250.00,FF
157,260308200.00,FF
158,260319150.00,02
159,260330100.00,04
160,260341100.00,02
161,260352050.00,38
162,260386900.00,11
163,260453650.00,AE
164,260481400.00,FF
165,260491300.00,FF
166,260501200.00,02
167,260511050.00,13
168,260520950.00,00
169,260530850.00,02
170,260540700.00,00
171,260550600.00,00
172,260560500.00,80
173,260570350.00,00
174,260580250.00,00
175,260590150.00,78
176,260600000.00,00
177,260609900.00,00
178,260619800.00,00
179,260629650.00,00
180,260639550.00,01
181,260649450.00,00
182,260659350.00,00
183,260669200.00,00
184,260679100.00,00
185,260689000.00,00
186,260698850.00,EF
187,309621300.00,FF
188,309632250.00,FF
189,309643200.00,02
190,309654200.00,04
191,309665150.00,02
192,309676100.00,38
193,309831550.00,11
194,309891300.00,AE
195,309919450.00,FF
196,309929300.00,FF
197,309939200.00,02
198,309949100.00,13
199,309958950.00,00
200,309968850.00,02
201,309978750.00,00
202,309988600.00,00
203,309998500.00,80
204,310008400.00,00
205,310018250.00,00
206,310028150.00,78
207,310038050.00,00
208,310047900.00,00
209,310057800.00,00
210,310067700.00,00
211,310077550.00,01
212,310087450.00,00
213,310097350.00,00
214,310107200.00,00
215,310117100.00,00
216,310127000.00,00
217,310136850.00,EF
218,360490400.00,FF
219,360501400.00,FF
220,360512350.00,02
221,360523300.00,04
222,360534250.00,02
223,360545200.00,38
224,360562200.00,11
225,360624950.00,AE
226,360652700.00,FF
227,360662550.00,FF
228,360672450.00,02
229,360682350.00,13
230,360692200.00,00
231,360702100.00,02
232,360712000.00,00
233,360721850.00,00
234,360731750.00,80
235,360741650.00,00
236,360751550.00,00
237,360761400.00,78
238,360771300.00,00
239,360781200.00,00
240,360791050.00,00
241,360800950.00,00
242,360810850.00,01
243,360820750.00,00
244,360830600.00,00
245,360840500.00,00
246,360850400.00,00
247,360860250.00,00
248,360870150.00,EF
249,409709500.00,FF
250,409720450.00,FF
251,409731400.00,02
252,409742350.00,04
253,409753350.00,02
254,409764300.00,38
255,409786250.00,11
256,409843050.00,AE
257,409870200.00,FF
258,409880100.00,FF
259,409890000.00,02
260,409899850.00,13
261,409909750.00,00
262,409919600.00,02
263,409929500.00,00
264,409939400.00,00
265,409949250.00,80
266,409959150.00,01
267,409969050.00,00
268,409978950.00,78
269,409988800.00,00
270,409998700.00,00
271,410008600.00,00
272,410018450.00,00
273,410028350.00,01
274,410038250.00,00
275,410048150.00,00
276,410058000.00,00
277,410067900.00,00
278,410077800.00,00
279,410087650.00,EE
280,459675300.00,FF
281,459686250.00,FF
282,459697200.00,02
283,459708150.00,04
284,459719100.00,02
285,459730050.00,38
286,459766950.00,11
287,459828700.00,AE
288,459854350.00,FF
289,459864250.00,FF
290,459874150.00,02
291,459884000.00,13
292,459893900.00,00
293,459903800.00,02
294,459913650.00,00
295,459923550.00,00
296,459933450.00,00
297,459943350.00,01
298,459953200.00,00
299,459963100.00,78
300,459973000.00,00
301,459982850.00,00
302,459992750.00,00
303,460002650.00,00
304,460012550.00,01
305,460022400.00,00
306,460032300.00,00
307,460042200.00,00
308,460052100.00,00
309,460061950.00,00
310,460071850.00,6E
311,509669700.00,FF
312,509680650.00,FF
313,509691600.00,02
314,509702550.00,04
315,509713500.00,02
316,509724450.00,38
317,509770250.00,11
318,509820050.00,AE
319,509846400.00,FF
320,509856300.00,FF
321,509866200.00,02
322,509876050.00,13
323,509885950.00,00
324,509895850.00,02
325,509905750.00,00
326,509915600.00,00
327,509925500.00,00
328,509935400.00,01
329,509945250.00,00
330,509955150.00,78
331,509965050.00,00
332,509974900.00,00
333,509984800.00,00
334,509994700.00,00
335,510004600.00,01
336,510014450.00,00
337,510024350.00,00
338,510034250.00,00
339,510044100.00,00
340,510054000.00,00
341,510063900.00,6E
342,560151600.00,FF
343,560162550.00,FF
344,560173500.00,02
345,560184500.00,04
346,560195450.00,02
347,560206400.00,38
348,560263200.00,11
349,560385800.00,AE
350,560411850.00,FF
351,560421750.00,FF
352,560431650.00,02
353,560441500.00,13
354,560451400.00,00
355,560461300.00,02
356,560471150.00,00
357,560481050.00,00
358,560490950.00,00
359,560500800.00,01
360,560510700.00,00
361,560520600.00,78
362,560530500.00,00
363,560540350.00,00
364,560550250.00,00
365,560560150.00,00
366,560570000.00,01
367,560579900.00,00
368,560589800.00,00
369,560599650.00,00
370,560609550.00,00
371,560619450.00,00
372,560629350.00,6E
373,609764900.00,FF
374,609775850.00,FF
375,609786800.00,02
376,609797750.00,04
377,609808750.00,02
378,609819700.00,38
379,609841650.00,11
380,609893450.00,AE
381,609921500.00,FF
382,609931400.00,FF
383,609941300.00,02
384,609951150.00,13
385,609961050.00,00
386,609970950.00,02
387,609980800.00,00
388,609990700.00,01
389,610000600.00,80
390,610010500.00,02
391,610020350.00,00
392,610030250.00,78
393,610040150.00,00
394,610050000.00,00
395,610059900.00,00
396,610069800.00,00
397,610079650.00,01
398,610089550.00,00
399,610099450.00,00
400,610109300.00,00
401,610119200.00,00
402,610129100.00,00
403,610139000.00,EC
404,658022400.00,00
405,659805800.00,FF
406,659816750.00,FF
407,659827750.00,02
408,659838700.00,04
409,659849650.00,02
410,659860650.00,38
411,659884550.00,11
412,659951300.00,AE
413,659977550.00,FF
414,659987450.00,FF
415,659997350.00,02
416,660007200.00,13
417,660017100.00,00
418,660027000.00,02
419,660036850.00,00
420,660046750.00,00
421,660056650.00,80
422,660066500.00,02
423,660076400.00,00
424,660086300.00,78
425,660096150.00,00
426,660106050.00,00
427,660115950.00,00
428,660125800.00,00
429,660135700.00,01
430,660145600.00,00
431,660155500.00,00
432,660165350.00,00
433,660175250.00,00
434,660185150.00,00
435,660195000.00,ED
436,709814450.00,FF
437,709825400.00,FF
438,709836400.00,02
439,709847350.00,04
440,709858300.00,02
441,709869250.00,38
442,709915050.00,11
443,709976850.00,AE
444,710004350.00,FF
445,710014200.00,FF
446,710024100.00,02
447,710034000.00,13
448,710043850.00,00
449,710053750.00,02
450,710063650.00,00
451,710073500.00,00
452,710083400.00,80
453,710093300.00,02
454,710103150.00,00
455,710113050.00,78
456,710122950.00,00
457,710132850.00,00
458,710142700.00,00
459,710152600.00,00
460,710162500.00,01
461,710172350.00,00
462,710182250.00,00
463,710192150.00,00
464,710202000.00,00
465,710211900.00,00
466,710221800.00,ED
467,760461550.00,FF
468,760472550.00,FF
469,760483500.00,02
470,760494450.00,04
471,760505450.00,02
472,760516400.00,38
473,760528350.00,11
474,760583200.00,AE
475,760609500.00,FF
476,760619400.00,FF
477,760629250.00,02
478,760639150.00,13
479,760649050.00,00
480,760658900.00,02
481,760668800.00,00
482,760678700.00,00
483,760688550.00,80
484,760698450.00,03
485,760708350.00,00
486,760718200.00,78
487,760728100.00,00
488,760738000.00,00
489,760747850.00,00
490,760757750.00,00
491,760767650.00,01
492,760777550.00,00
493,760787400.00,00
494,760797300.00,00
495,760807200.00,00
496,760817050.00,00
497,760826950.00,EC
498,810053950.00,FF
499,810064900.00,FF
500,810075900.00,02
501,810086850.00,04
502,810097850.00,02
503,810108800.00,38
504,810156650.00,11
505,810216450.00,AE
506,810242750.00,FF
507,810252650.00,FF
508,810262500.00,02
509,810272400.00,13
510,810282250.00,00
511,810292150.00,02
512,810302050.00,00
513,810311900.00,00
514,810321800.00,80
515,810331700.00,03
516,810341600.00,00
