Id,Time[ns],0:UART: RX/TX
1,40280100.00,FF
2,40291050.00,FF
3,40302000.00,02
4,40312950.00,04
5,40323900.00,02
6,40334850.00,38
7,40400600.00,11
8,40518100.00,AE
9,40544000.00,FF
10,40553850.00,FF
11,40563700.00,02
12,40573600.00,13
13,40583450.00,00
14,40593350.00,03
15,40603200.00,08
16,40613100.00,00
17,40622950.00,00
18,40632850.00,09
19,40642700.00,04
20,40652600.00,78
21,40662450.00,00
22,40672350.00,00
23,40682200.00,00
24,40692100.00,00
25,40701950.00,FF
26,40711850.00,07
27,40721700.00,00
28,40731600.00,00
29,40741450.00,00
30,40751350.00,00
31,40761200.00,54
32,89781500.00,FF
33,89792450.00,FF
34,89803400.00,02
35,89814350.00,04
36,89825300.00,02
37,89836250.00,38
38,89886050.00,11
39,89994650.00,AE
40,90021300.00,FF
41,90031150.00,FF
42,90041050.00,02
43,90050900.00,13
44,90060750.00,00
45,90070650.00,03
46,90080500.00,08
47,90090400.00,00
48,90100300.00,00
49,90110150.00,08
50,90120050.00,04
51,90129900.00,78
52,90139750.00,00
53,90149650.00,00
54,90159500.00,00
55,90169400.00,00
56,90179250.00,FF
57,90189150.00,07
58,90199000.00,00
59,90208900.00,00
60,90218750.00,00
61,90228650.00,00
62,90238500.00,55
63,139791100.00,FF
64,139802050.00,FF
65,139813000.00,02
66,139823950.00,04
67,139834950.00,02
68,139845900.00,38
69,139901650.00,11
70,139984300.00,AE
71,140010450.00,FF
72,140020300.00,FF
73,140030200.00,02
74,140040050.00,13
75,140049900.00,00
76,140059800.00,03
77,140069650.00,08
78,140079550.00,00
79,140089400.00,00
80,140099300.00,06
81,140109150.00,04
82,140119050.00,78
83,140128900.00,00
84,140138800.00,00
85,140148650.00,00
86,140158550.00,00
87,140168400.00,FF
88,140178300.00,07
89,140188150.00,00
90,140198050.00,00
91,140207900.00,00
92,140217800.00,00
93,140227650.00,57
94,189795700.00,FF
95,189806650.00,FF
96,189817600.00,02
97,189828550.00,04
98,189839500.00,02
99,189850450.00,38
100,189976950.00,11
101,190087500.00,AE
102,190114300.00,FF
103,190124200.00,FF
104,190134050.00,02
105,190143950.00,13
106,190153800.00,00
107,190163700.00,03
108,190173550.00,08
109,190183450.00,00
110,190193300.00,00
111,190203200.00,05
112,190213050.00,04
113,190222950.00,78
114,190232800.00,00
115,190242700.00,00
116,190252550.00,00
117,190262450.00,00
118,190272300.00,FF
119,190282200.00,07
120,190292050.00,00
121,190301950.00,00
122,190311800.00,00
123,190321700.00,00
124,190331550.00,58
125,239827550.00,FF
126,239838500.00,FF
127,239849450.00,02
128,239860400.00,04
129,239871400.00,02
130,239882350.00,38
131,239999850.00,11
132,240111400.00,AE
133,240138550.00,FF
134,240148400.00,FF
135,240158300.00,02
136,240168150.00,13
137,240178000.00,00
138,240187900.00,03
139,240197750.00,08
140,240207650.00,00
141,240217500.00,00
142,240227400.00,04
143,240237250.00,04
144,240247150.00,78
145,240257000.00,00
146,240266900.00,00
147,240276750.00,00
148,240286650.00,00
149,240296500.00,FF
150,240306400.00,07
151,240316250.00,00
152,240326150.00,00
153,240336000.00,00
154,240345900.00,00
155,240355750.00,59
156,289799700.00,FF
157,289810650.00,FF
158,289821600.00,02
159,289832550.00,04
160,289843500.00,02
161,289854450.00,38
162,289946100.00,11
163,290059650.00,AE
164,290085350.00,FF
165,290095200.00,FF
166,290105100.00,02
167,290114950.00,13
168,290124800.00,00
169,290134700.00,03
170,290144550.00,08
171,290154450.00,00
172,290164300.00,00
173,290174200.00,03
174,290184050.00,04
175,290193950.00,78
176,290203800.00,00
177,290213700.00,00
178,290223550.00,00
179,290233450.00,00
180,290243300.00,FF
181,290253200.00,07
182,290263050.00,00
183,290272950.00,00
184,290282800.00,00
185,290292700.00,00
186,290302550.00,5A
187,339792350.00,FF
188,339803300.00,FF
189,339814300.00,02
190,339825250.00,04
191,339836200.00,02
192,339847150.00,38
193,339913900.00,11
194,340016500.00,AE
195,340041950.00,FF
196,340051800.00,FF
197,340061700.00,02
198,340071550.00,13
199,340081400.00,00
200,340091300.00,03
201,340101150.00,08
202,340111050.00,00
203,340120900.00,00
204,340130800.00,02
205,340140650.00,04
206,340150550.00,78
207,340160400.00,00
208,340170300.00,00
209,340180150.00,00
210,340190050.00,00
211,340199900.00,FF
212,340209800.00,07
213,340219650.00,00
214,340229550.00,00
215,340239400.00,00
216,340249300.00,00
217,340259150.00,5B
218,389797950.00,FF
219,389808900.00,FF
220,389819850.00,02
221,389830800.00,04
222,389841800.00,02
223,389852750.00,38
224,389889600.00,11
225,389995250.00,AE
226,390021300.00,FF
227,390031200.00,FF
228,390041050.00,02
229,390050900.00,13
230,390060800.00,00
231,390070650.00,03
232,390080550.00,08
233,390090400.00,00
234,390100300.00,00
235,390110200.00,00
236,390120050.00,04
237,390129950.00,78
238,390139800.00,00
239,390149650.00,00
240,390159550.00,00
241,390169450.00,00
242,390179300.00,FF
243,390189200.00,07
244,390199050.00,00
245,390208900.00,00
246,390218800.00,00
247,390228650.00,00
248,390238550.00,5D
249,440374200.00,FF
250,440385150.00,FF
251,440396150.00,02
252,440407100.00,04
253,440418050.00,02
254,440429000.00,38
255,440520700.00,11
256,440648200.00,AE
257,440673550.00,FF
258,440683450.00,FF
259,440693300.00,02
260,440703150.00,13
261,440713050.00,00
262,440722900.00,03
263,440732800.00,08
264,440742650.00,00
265,440752550.00,00
266,440762400.00,00
267,440772300.00,00
268,440782150.00,78
269,440792050.00,00
270,440801900.00,00
271,440811800.00,00
272,440821650.00,00
273,440831550.00,FF
274,440841450.00,07
275,440851300.00,00
276,440861150.00,00
277,440871050.00,00
278,440880900.00,00
279,440890800.00,61
280,489539600.00,FF
281,489550550.00,FF
282,489561550.00,02
283,489572500.00,04
284,489583450.00,02
285,489594400.00,38
286,489640250.00,11
287,489745950.00,AE
288,489771800.00,FF
289,489781700.00,FF
290,489791550.00,02
291,489801450.00,13
292,489811300.00,00
293,489821200.00,03
294,489831050.00,08
295,489840950.00,00
296,489850800.00,00
297,489860700.00,01
298,489870550.00,00
299,489880450.00,78
300,489890300.00,00
301,489900200.00,00
302,489910050.00,00
303,489919950.00,00
304,489929800.00,FF
305,489939700.00,07
306,489949550.00,00
307,489959450.00,00
308,489969300.00,00
309,489979200.00,00
310,489989050.00,60
311,540080800.00,FF
312,540091750.00,FF
313,540102700.00,02
314,540113700.00,04
315,540124650.00,02
316,540135600.00,38
317,540231300.00,11
318,540342850.00,AE
319,540368900.00,FF
320,540378800.00,FF
321,540388650.00,02
322,540398500.00,13
323,540408400.00,00
324,540418250.00,03
325,540428150.00,08
326,540438000.00,00
327,540447900.00,00
328,540457750.00,02
329,540467650.00,00
330,540477500.00,78
331,540487400.00,00
332,540497250.00,00
333,540507150.00,00
334,540517000.00,00
335,540526900.00,FF
336,540536800.00,07
337,540546650.00,00
338,540556500.00,00
339,540566400.00,00
340,540576250.00,00
341,540586150.00,5F
342,589942450.00,FF
343,589953400.00,FF
344,589964400.00,02
345,589975350.00,04
346,589986300.00,02
347,589997250.00,38
348,590008200.00,11
349,590070000.00,AE
350,590095550.00,FF
351,590105400.00,FF
352,590115300.00,02
353,590125150.00,13
354,590135000.00,00
355,590144900.00,03
356,590154750.00,08
357,590164650.00,00
358,590174500.00,00
359,590184400.00,03
360,590194250.00,00
361,590204150.00,78
362,590214000.00,00
363,590223900.00,00
364,590233750.00,00
365,590243650.00,00
366,590253500.00,FF
367,590263400.00,07
368,590273250.00,00
369,590283150.00,00
370,590293000.00,00
371,590302900.00,00
372,590312750.00,5E
373,592486400.00,00
374,593054850.00,50
375,640431050.00,FF
376,640442000.00,FF
377,640452950.00,02
378,640463950.00,04
379,640474900.00,02
380,640485850.00,38
381,640556550.00,11
382,640689050.00,AE
383,640714700.00,FF
384,640724600.00,FF
385,640734450.00,02
386,640744350.00,13
387,640754200.00,00
388,640764100.00,03
389,640773950.00,08
390,640783850.00,00
391,640793700.00,00
392,640803600.00,04
393,640813450.00,00
394,640823350.00,78
395,640833200.00,00
396,640843100.00,00
397,640852950.00,00
398,640862850.00,00
399,640872700.00,FF
400,640882600.00,07
401,640892500.00,00
402,640902350.00,00
403,640912250.00,00
404,640922100.00,00
405,640932000.00,5D
406,690362150.00,FF
407,690373100.00,FF
408,690384050.00,02
409,690395000.00,04
410,690405950.00,02
411,690416900.00,38
412,690433850.00,11
413,690567300.00,AE
414,690594100.00,FF
415,690603950.00,FF
416,690613850.00,02
417,690623700.00,13
418,690633550.00,00
419,690643450.00,03
420,690653300.00,08
421,690663200.00,00
422,690673050.00,00
423,690682950.00,06
424,690692800.00,00
425,690702700.00,78
426,690712550.00,00
427,690722450.00,00
428,690732300.00,00
429,690742200.00,00
430,690752100.00,FF
431,690761950.00,07
432,690771850.00,00
433,690781700.00,00
434,690791600.00,00
435,690801450.00,00
436,690811350.00,5B
437,739709100.00,FF
438,739720050.00,FF
439,739731000.00,02
440,739741950.00,04
441,739752950.00,02
442,739763900.00,38
443,739807750.00,11
444,739909350.00,AE
445,739936700.00,FF
446,739946550.00,FF
447,739956450.00,02
448,739966300.00,13
449,739976200.00,00
450,739986050.00,03
451,739995950.00,08
452,740005800.00,00
453,740015700.00,00
454,740025550.00,07
455,740035450.00,00
456,740045300.00,78
457,740055200.00,00
458,740065050.00,00
459,740074950.00,00
460,740084800.00,00
461,740094700.00,FF
462,740104600.00,07
463,740114450.00,00
464,740124300.00,00
465,740134200.00,00
466,740144050.00,00
467,740153950.00,5A
468,789735700.00,FF
469,789746650.00,FF
470,789757650.00,02
471,789768600.00,04
472,789779550.00,02
473,789790500.00,38
474,789993750.00,11
475,790098350.00,AE
476,790124200.00,FF
477,790134050.00,FF
478,790143950.00,02
479,790153800.00,13
480,790163650.00,00
481,790173550.00,03
482,790183400.00,08
483,790193300.00,00
484,790203150.00,00
485,790213050.00,08
486,790222950.00,00
487,790232800.00,78
488,790242700.00,00
489,790252550.00,00
490,790262450.00,00
491,790272300.00,00
492,790282200.00,FF
493,790292050.00,07
494,790301950.00,00
495,790311800.00,00
496,790321700.00,00
497,790331550.00,00
498,790341450.00,59
499,840303100.00,FF
500,840314050.00,FF
501,840325000.00,02
502,840336000.00,04
503,840346950.00,02
504,840357900.00,38
505,840408700.00,11
506,840517300.00,AE
