Id,Time[ns],0:UART: RX/TX
1,35252700.00,FF
2,35263650.00,FF
3,35274600.00,02
4,35285550.00,04
5,35296550.00,02
6,35307500.00,38
7,35351300.00,11
8,35432000.00,AE
9,35468200.00,FF
10,35478100.00,FF
11,35487950.00,02
12,35497850.00,13
13,35507700.00,00
14,35517600.00,02
15,35527500.00,08
16,35537350.00,00
17,35547250.00,80
18,35557150.00,06
19,35567000.00,04
20,35576900.00,78
21,35586750.00,00
22,35596650.00,00
23,35606550.00,00
24,35616400.00,00
25,35626300.00,00
26,35636200.00,08
27,35646050.00,00
28,35655950.00,00
29,35665800.00,00
30,35675700.00,00
31,35685550.00,D6
32,97748500.00,FF
33,97759450.00,FF
34,97770400.00,02
35,97781350.00,04
36,97792300.00,02
37,97803300.00,38
38,97858050.00,11
39,97940700.00,AE
40,97997600.00,FF
41,98007500.00,FF
42,98017350.00,02
43,98027250.00,13
44,98037100.00,00
45,98047000.00,02
46,98056900.00,08
47,98066750.00,00
48,98076650.00,80
49,98086550.00,05
50,98096400.00,04
51,98106300.00,78
52,98116200.00,00
53,98126050.00,00
54,98135950.00,00
55,98145800.00,00
56,98155700.00,00
57,98165600.00,08
58,98175450.00,00
59,98185350.00,00
60,98195200.00,00
61,98205100.00,00
62,98215000.00,D7
63,143745250.00,FF
64,143756200.00,FF
65,143767150.00,02
66,143778100.00,04
67,143789100.00,02
68,143800050.00,38
69,143823950.00,11
70,143935550.00,AE
71,143993850.00,FF
72,144003750.00,FF
73,144013600.00,02
74,144023500.00,13
75,144033350.00,00
76,144043250.00,02
77,144053150.00,08
78,144063000.00,00
79,144072900.00,80
80,144082800.00,04
81,144092650.00,04
82,144102550.00,78
83,144112400.00,00
84,144122300.00,00
85,144132200.00,00
86,144142050.00,00
87,144151950.00,00
88,144161800.00,08
89,144171700.00,00
90,144181600.00,00
91,144191450.00,00
92,144201350.00,00
93,144211200.00,D8
94,189624650.00,FF
95,189635650.00,FF
96,189646600.00,02
97,189657550.00,04
98,189668550.00,02
99,189679500.00,38
100,189705400.00,11
101,189786150.00,AE
