Id,Time[ns],0:UART: RX/TX
1,24779050.00,FF
2,24790000.00,FF
3,24800950.00,02
4,24811950.00,04
5,24822900.00,02
6,24833850.00,38
7,24924500.00,11
8,25044000.00,AE
9,25102900.00,FF
10,25115750.00,FF
11,25128600.00,02
12,25141450.00,13
13,25154300.00,00
14,25167100.00,00
15,25179950.00,00
16,25192800.00,00
17,25205650.00,80
18,25218450.00,1F
19,25231300.00,04
20,25244150.00,78
21,25257000.00,00
22,25269800.00,00
23,25282650.00,00
24,25295500.00,00
25,25308350.00,01
26,25321200.00,00
27,25334000.00,00
28,25346850.00,00
29,25359700.00,00
30,25372550.00,00
31,25385350.00,CE
32,74832200.00,FF
33,74843150.00,FF
34,74854100.00,02
35,74865050.00,04
36,74876000.00,02
37,74886950.00,38
38,75000550.00,11
39,75103200.00,AE
40,75139650.00,FF
41,75152500.00,FF
42,75165350.00,02
43,75178150.00,13
44,75191000.00,00
45,75203850.00,00
46,75216700.00,00
47,75229500.00,00
48,75242350.00,80
49,75255200.00,1F
50,75268050.00,04
51,75280850.00,78
52,75293700.00,00
53,75306550.00,00
54,75319400.00,00
55,75332200.00,00
56,75345050.00,01
57,75357900.00,00
58,75370750.00,00
59,75383550.00,00
60,75396400.00,00
61,75409250.00,00
62,75422100.00,CE
63,123932700.00,FF
64,123943700.00,FF
65,123954650.00,02
66,123965600.00,04
67,123976550.00,02
68,123987550.00,38
69,124085150.00,11
70,124214650.00,AE
71,124272350.00,FF
72,124285200.00,FF
73,124298050.00,02
74,124310850.00,13
75,124323700.00,00
76,124336550.00,00
77,124349350.00,00
78,124362200.00,00
79,124375050.00,80
80,124387900.00,1F
81,124400700.00,04
82,124413550.00,78
83,124426400.00,00
84,124439200.00,00
85,124452050.00,00
86,124464900.00,00
87,124477750.00,01
88,124490550.00,00
89,124503400.00,00
90,124516250.00,00
91,124529050.00,00
92,124541900.00,00
93,124554750.00,CE
94,174699350.00,FF
95,174710300.00,FF
96,174721300.00,02
97,174732250.00,04
98,174743200.00,02
99,174754150.00,38
100,174858750.00,11
101,174985300.00,AE
102,175042250.00,FF
103,175055100.00,FF
104,175067950.00,02
105,175080800.00,13
106,175093600.00,00
107,175106450.00,00
108,175119300.00,00
109,175132150.00,00
110,175144950.00,80
111,175157800.00,1F
112,175170650.00,04
113,175183500.00,78
114,175196300.00,00
115,175209150.00,00
116,175222000.00,00
117,175234850.00,00
118,175247650.00,01
119,175260500.00,00
120,175273350.00,00
121,175286200.00,00
122,175299000.00,00
123,175311850.00,00
124,175324700.00,CE
125,224629000.00,FF
126,224640000.00,FF
127,224650950.00,02
