Id,Time[ns],0:UART: RX/TX
1,32413050.00,FF
2,32424000.00,FF
3,32435000.00,02
4,32445950.00,04
5,32456900.00,02
6,32467850.00,38
7,32536600.00,11
8,32648200.00,AE
9,32704850.00,FF
10,32717700.00,FF
11,32730550.00,02
12,32743350.00,13
13,32756200.00,00
14,32769050.00,00
15,32781900.00,00
16,32794750.00,00
17,32807550.00,00
18,32820400.00,20
19,32833250.00,04
20,32846100.00,78
21,32858900.00,00
22,32871750.00,00
23,32884600.00,00
24,32897450.00,00
25,32910250.00,01
26,32923100.00,00
27,32935950.00,00
28,32948800.00,00
29,32961600.00,00
30,32974450.00,00
31,32988300.00,4D
32,82398550.00,FF
33,82409500.00,FF
34,82420450.00,02
35,82431450.00,04
36,82442400.00,02
37,82453350.00,38
38,82495200.00,11
39,82601850.00,AE
40,82639450.00,FF
41,82652300.00,FF
42,82665100.00,02
43,82677950.00,13
44,82690800.00,00
45,82703650.00,00
46,82716450.00,00
47,82729300.00,00
48,82742150.00,00
49,82755000.00,20
50,82767800.00,04
51,82780650.00,78
52,82793500.00,00
53,82806350.00,00
54,82819150.00,00
55,82832000.00,00
56,82844850.00,01
57,82857700.00,00
58,82870500.00,00
59,82883350.00,00
60,82896200.00,00
61,82909050.00,00
62,82921850.00,4D
63,132352200.00,FF
64,132363150.00,FF
65,132374100.00,02
66,132385050.00,04
67,132396050.00,02
68,132407000.00,38
69,132525600.00,11
70,132655100.00,AE
71,132713900.00,FF
72,132726700.00,FF
73,132739550.00,02
74,132752400.00,13
75,132765250.00,00
76,132778050.00,00
77,132790900.00,00
78,132803750.00,00
79,132816600.00,00
80,132829450.00,20
81,132842250.00,04
82,132855100.00,78
83,132867950.00,00
84,132880800.00,00
85,132893650.00,00
86,132906450.00,00
87,132919300.00,01
88,132932150.00,00
89,132945000.00,00
90,132957800.00,00
91,132970650.00,00
92,132983500.00,00
93,132996350.00,4D
94,182357900.00,FF
95,182368900.00,FF
96,182379850.00,02
97,182390800.00,04
98,182401800.00,02
99,182412750.00,38
100,182477550.00,11
101,182585200.00,AE
102,182641650.00,FF
103,182654500.00,FF
104,182667350.00,02
105,182680150.00,13
106,182693000.00,00
107,182705850.00,00
108,182718700.00,00
109,182731500.00,00
110,182744350.00,00
111,182757200.00,20
112,182770050.00,04
113,182782900.00,78
114,182795700.00,00
115,182808550.00,00
116,182821400.00,00
117,182834250.00,00
118,182847100.00,01
119,182859900.00,00
120,182872750.00,00
121,182885600.00,00
122,182898450.00,00
123,182911250.00,00
124,182924100.00,4D
125,232090950.00,FF
126,232101950.00,FF
127,232112900.00,02
128,232123850.00,04
129,232134850.00,02
130,232145800.00,38
131,232232550.00,11
132,232357200.00,AE
133,232413750.00,FF
134,232426600.00,FF
135,232439450.00,02
136,232452300.00,13
137,232465100.00,00
138,232477950.00,00
139,232490800.00,00
140,232503650.00,00
141,232516500.00,00
142,232529300.00,20
143,232542150.00,04
144,232555000.00,78
145,232567850.00,00
146,232580650.00,00
147,232593500.00,00
148,232606350.00,00
149,232619200.00,01
150,232632000.00,00
151,232644850.00,00
152,232657700.00,00
153,232670550.00,00
154,232683400.00,00
155,232696200.00,4D
156,282487850.00,FF
157,282498800.00,FF
158,282509800.00,02
159,282520750.00,04
160,282531700.00,02
161,282542650.00,38
162,282609500.00,11
163,282710150.00,AE
164,282746450.00,FF
165,282759300.00,FF
166,282772100.00,02
167,282784950.00,13
168,282797800.00,00
169,282810650.00,00
170,282823500.00,00
171,282836350.00,00
172,282849150.00,00
173,282862000.00,20
174,282874850.00,04
175,282887700.00,78
176,282900550.00,00
177,282913400.00,00
178,282926200.00,00
179,282939050.00,00
180,282951900.00,01
181,282964750.00,00
182,282977600.00,00
183,282990400.00,00
184,283003250.00,00
185,283016100.00,00
186,283028950.00,4D
187,332262150.00,FF
188,332273100.00,FF
189,332284050.00,02
190,332295050.00,04
191,332306000.00,02
192,332317950.00,38
193,332451500.00,11
194,332592000.00,AE
195,332649950.00,FF
196,332662800.00,FF
197,332675650.00,02
198,332688450.00,13
199,332701300.00,00
200,332714150.00,00
201,332727000.00,00
202,332739850.00,00
203,332752650.00,00
204,332765500.00,20
205,332778350.00,04
206,332791200.00,78
207,332804000.00,00
208,332816850.00,00
209,332829700.00,00
210,332842550.00,00
211,332855400.00,01
212,332868200.00,00
213,332881050.00,00
214,332893900.00,00
215,332906750.00,00
216,332919600.00,00
217,332932400.00,4D
218,382429900.00,FF
219,382440850.00,FF
220,382451800.00,02
221,382462800.00,04
222,382474750.00,02
223,382485700.00,38
224,382557450.00,11
225,382665100.00,AE
226,382723200.00,FF
227,382736050.00,FF
228,382748900.00,02
229,382761750.00,13
230,382774550.00,00
231,382787400.00,00
232,382800250.00,00
233,382813100.00,00
234,382825900.00,00
235,382838750.00,20
236,382851600.00,04
237,382864450.00,78
238,382877250.00,00
239,382890100.00,00
240,382902950.00,00
241,382915800.00,00
242,382928600.00,01
243,382941450.00,00
244,382954300.00,00
245,382967150.00,00
246,382979950.00,00
247,382992800.00,00
248,383005650.00,4D
249,432464500.00,FF
250,432475450.00,FF
251,432486450.00,02
252,432497400.00,04
253,432508350.00,02
254,432519300.00,38
255,432630950.00,11
256,432731600.00,AE
257,432788700.00,FF
258,432801550.00,FF
259,432814350.00,02
260,432827200.00,13
261,432840050.00,00
262,432852900.00,00
263,432865750.00,00
264,432878550.00,00
265,432891400.00,00
266,432905250.00,20
267,432918100.00,04
268,432930900.00,78
269,432943750.00,00
270,432956600.00,00
271,432969450.00,00
272,432982250.00,00
273,432995100.00,01
274,433007950.00,00
275,433020800.00,00
276,433033650.00,00
277,433046450.00,00
278,433059300.00,00
279,433072150.00,4D
280,482407250.00,FF
